base,extra,test,majority,num_classes,majority_all
0.57,0.54,0.595,0.51,2,0.5096165973010468
0.61,0.59,0.61,0.505,2,0.5096165973010468
0.58,0.585,0.6,0.545,2,0.5096165973010468
0.6,0.6,0.585,0.535,2,0.5096165973010468
0.55,0.545,0.555,0.535,2,0.5096165973010468
0.65,0.675,0.675,0.53,2,0.5096165973010468
0.62,0.585,0.615,0.51,2,0.5096165973010468
0.575,0.53,0.5,0.525,2,0.5096165973010468
0.51,0.59,0.6,0.515,2,0.5096165973010468
0.54,0.53,0.485,0.51,2,0.5096165973010468
0.545,0.535,0.525,0.56,2,0.5096165973010468
0.585,0.535,0.52,0.545,2,0.5096165973010468
0.585,0.585,0.565,0.515,2,0.5096165973010468
0.635,0.685,0.67,0.51,2,0.5096165973010468
0.53,0.55,0.55,0.515,2,0.5096165973010468
0.65,0.585,0.61,0.515,2,0.5096165973010468
0.58,0.59,0.58,0.545,2,0.5096165973010468
0.59,0.535,0.565,0.505,2,0.5096165973010468
0.58,0.565,0.555,0.56,2,0.5096165973010468
0.615,0.58,0.605,0.57,2,0.5096165973010468
0.595,0.555,0.535,0.515,2,0.5096165973010468
0.605,0.58,0.575,0.535,2,0.5096165973010468
0.595,0.565,0.58,0.54,2,0.5096165973010468
0.575,0.53,0.495,0.5,2,0.5096165973010468
0.55,0.49,0.515,0.54,2,0.5096165973010468
0.565,0.54,0.555,0.58,2,0.5096165973010468
0.545,0.555,0.56,0.535,2,0.5096165973010468
0.545,0.55,0.505,0.56,2,0.5096165973010468
0.55,0.565,0.58,0.515,2,0.5096165973010468
0.655,0.675,0.665,0.505,2,0.5096165973010468
0.62,0.595,0.625,0.535,2,0.5096165973010468
0.57,0.545,0.545,0.515,2,0.5096165973010468
0.54,0.52,0.515,0.505,2,0.5096165973010468
0.565,0.56,0.545,0.52,2,0.5096165973010468
0.495,0.52,0.515,0.54,2,0.5096165973010468
0.615,0.575,0.61,0.515,2,0.5096165973010468
0.615,0.605,0.62,0.575,2,0.5096165973010468
0.515,0.505,0.505,0.51,2,0.5096165973010468
0.595,0.55,0.56,0.525,2,0.5096165973010468
0.62,0.6,0.56,0.505,2,0.5096165973010468
0.565,0.515,0.525,0.565,2,0.5096165973010468
0.55,0.535,0.56,0.54,2,0.5096165973010468
0.625,0.63,0.635,0.53,2,0.5096165973010468
0.585,0.565,0.57,0.515,2,0.5096165973010468
0.52,0.525,0.525,0.53,2,0.5096165973010468
0.63,0.595,0.595,0.525,2,0.5096165973010468
0.615,0.62,0.595,0.52,2,0.5096165973010468
0.635,0.625,0.67,0.515,2,0.5096165973010468
0.63,0.555,0.55,0.505,2,0.5096165973010468
0.605,0.51,0.55,0.515,2,0.5096165973010468
