base,extra,test,majority,num_classes,majority_all
0.04,0.04,0.03,0.13,18,0.1466041340976203
0.07,0.025,0.03,0.175,18,0.1466041340976203
0.045,0.005,0.015,0.125,18,0.1466041340976203
0.07,0.03,0.045,0.135,18,0.1466041340976203
0.045,0.015,0.01,0.165,18,0.1466041340976203
0.03,0.03,0.04,0.135,18,0.1466041340976203
0.055,0.025,0.025,0.18,18,0.1466041340976203
0.055,0.005,0.01,0.14,18,0.1466041340976203
0.03,0.015,0.025,0.14,18,0.1466041340976203
0.045,0.03,0.035,0.16,18,0.1466041340976203
0.04,0.02,0.015,0.155,18,0.1466041340976203
0.02,0.045,0.035,0.15,18,0.1466041340976203
0.045,0.06,0.065,0.175,18,0.1466041340976203
0.035,0.035,0.035,0.155,18,0.1466041340976203
0.06,0.02,0.015,0.17,18,0.1466041340976203
0.075,0.045,0.03,0.22,18,0.1466041340976203
0.035,0.03,0.025,0.16,18,0.1466041340976203
0.045,0.03,0.04,0.195,18,0.1466041340976203
0.04,0.05,0.04,0.13,18,0.1466041340976203
0.05,0.01,0.01,0.195,18,0.1466041340976203
0.065,0.01,0.02,0.125,18,0.1466041340976203
0.025,0.02,0.025,0.15,18,0.1466041340976203
0.02,0.03,0.015,0.185,18,0.1466041340976203
0.045,0.03,0.02,0.14,18,0.1466041340976203
0.04,0.05,0.05,0.135,18,0.1466041340976203
0.015,0.02,0.01,0.165,18,0.1466041340976203
0.08,0.035,0.04,0.16,18,0.1466041340976203
0.03,0.045,0.045,0.14,18,0.1466041340976203
0.045,0.02,0.025,0.14,18,0.1466041340976203
0.055,0.04,0.025,0.115,18,0.1466041340976203
0.045,0.055,0.04,0.175,18,0.1466041340976203
0.045,0.04,0.035,0.155,18,0.1466041340976203
0.05,0.025,0.02,0.145,18,0.1466041340976203
0.04,0.015,0.015,0.15,18,0.1466041340976203
0.06,0.04,0.04,0.145,18,0.1466041340976203
0.045,0.045,0.045,0.14,18,0.1466041340976203
0.06,0.07,0.06,0.16,18,0.1466041340976203
0.04,0.02,0.03,0.18,18,0.1466041340976203
0.075,0.055,0.05,0.155,18,0.1466041340976203
0.045,0.05,0.04,0.13,18,0.1466041340976203
0.04,0.025,0.03,0.135,18,0.1466041340976203
0.04,0.015,0.02,0.145,18,0.1466041340976203
0.06,0.015,0.02,0.145,18,0.1466041340976203
0.04,0.04,0.03,0.14,18,0.1466041340976203
0.055,0.025,0.025,0.165,18,0.1466041340976203
0.06,0.035,0.035,0.13,18,0.1466041340976203
0.055,0.02,0.025,0.14,18,0.1466041340976203
0.045,0.035,0.04,0.13,18,0.1466041340976203
0.045,0.025,0.03,0.145,18,0.1466041340976203
0.055,0.015,0.015,0.16,18,0.1466041340976203
