base,extra,test,majority,num_classes,majority_all
0.115,0.085,0.07,0.165,11,0.13959277462181655
0.095,0.12,0.09,0.125,11,0.13959277462181655
0.075,0.1,0.065,0.135,11,0.13959277462181655
0.085,0.095,0.09,0.19,11,0.13959277462181655
0.13,0.08,0.08,0.16,11,0.13959277462181655
0.08,0.075,0.045,0.155,11,0.13959277462181655
0.09,0.065,0.07,0.16,11,0.13959277462181655
0.075,0.075,0.06,0.16,11,0.13959277462181655
0.115,0.04,0.055,0.14,11,0.13959277462181655
0.09,0.08,0.07,0.15,11,0.13959277462181655
0.125,0.035,0.055,0.16,11,0.13959277462181655
0.075,0.095,0.095,0.14,11,0.13959277462181655
0.1,0.08,0.07,0.19,11,0.13959277462181655
0.105,0.07,0.085,0.14,11,0.13959277462181655
0.095,0.08,0.09,0.135,11,0.13959277462181655
0.075,0.085,0.08,0.155,11,0.13959277462181655
0.105,0.075,0.075,0.125,11,0.13959277462181655
0.105,0.085,0.055,0.155,11,0.13959277462181655
0.1,0.105,0.1,0.16,11,0.13959277462181655
0.085,0.085,0.085,0.16,11,0.13959277462181655
0.1,0.065,0.08,0.15,11,0.13959277462181655
0.07,0.075,0.09,0.16,11,0.13959277462181655
0.06,0.085,0.115,0.165,11,0.13959277462181655
0.075,0.07,0.065,0.185,11,0.13959277462181655
0.055,0.08,0.055,0.135,11,0.13959277462181655
0.08,0.06,0.075,0.165,11,0.13959277462181655
0.135,0.05,0.065,0.17,11,0.13959277462181655
0.07,0.055,0.055,0.15,11,0.13959277462181655
0.07,0.095,0.08,0.13,11,0.13959277462181655
0.095,0.07,0.07,0.12,11,0.13959277462181655
0.055,0.075,0.055,0.135,11,0.13959277462181655
0.09,0.05,0.055,0.2,11,0.13959277462181655
0.075,0.07,0.06,0.155,11,0.13959277462181655
0.06,0.065,0.065,0.18,11,0.13959277462181655
0.11,0.07,0.035,0.15,11,0.13959277462181655
0.13,0.08,0.075,0.14,11,0.13959277462181655
0.095,0.065,0.065,0.15,11,0.13959277462181655
0.065,0.05,0.055,0.18,11,0.13959277462181655
0.115,0.105,0.105,0.15,11,0.13959277462181655
0.09,0.06,0.055,0.175,11,0.13959277462181655
0.105,0.075,0.095,0.15,11,0.13959277462181655
0.075,0.03,0.04,0.16,11,0.13959277462181655
0.105,0.065,0.055,0.16,11,0.13959277462181655
0.08,0.095,0.05,0.14,11,0.13959277462181655
0.045,0.05,0.095,0.165,11,0.13959277462181655
0.075,0.04,0.055,0.165,11,0.13959277462181655
0.09,0.055,0.08,0.14,11,0.13959277462181655
0.09,0.05,0.055,0.155,11,0.13959277462181655
0.115,0.105,0.07,0.18,11,0.13959277462181655
0.09,0.075,0.1,0.15,11,0.13959277462181655
