base,extra,test,majority,num_classes,majority_all
0.32,0.295,0.3,0.455,4,0.4574165423884364
0.305,0.335,0.34,0.42,4,0.4574165423884364
0.38,0.325,0.335,0.405,4,0.4574165423884364
0.355,0.32,0.315,0.475,4,0.4574165423884364
0.315,0.26,0.28,0.45,4,0.4574165423884364
0.32,0.27,0.29,0.48,4,0.4574165423884364
0.375,0.32,0.33,0.4,4,0.4574165423884364
0.335,0.275,0.33,0.445,4,0.4574165423884364
0.3,0.27,0.285,0.505,4,0.4574165423884364
0.285,0.28,0.285,0.475,4,0.4574165423884364
0.335,0.305,0.335,0.485,4,0.4574165423884364
0.45,0.32,0.295,0.465,4,0.4574165423884364
0.255,0.31,0.31,0.455,4,0.4574165423884364
0.315,0.31,0.31,0.45,4,0.4574165423884364
0.33,0.275,0.28,0.465,4,0.4574165423884364
0.31,0.34,0.32,0.455,4,0.4574165423884364
0.405,0.285,0.27,0.495,4,0.4574165423884364
0.315,0.29,0.295,0.455,4,0.4574165423884364
0.36,0.33,0.31,0.435,4,0.4574165423884364
0.23,0.19,0.215,0.52,4,0.4574165423884364
0.395,0.32,0.31,0.425,4,0.4574165423884364
0.325,0.32,0.3,0.47,4,0.4574165423884364
0.31,0.29,0.29,0.475,4,0.4574165423884364
0.37,0.335,0.33,0.475,4,0.4574165423884364
0.27,0.285,0.285,0.505,4,0.4574165423884364
0.425,0.335,0.325,0.405,4,0.4574165423884364
0.325,0.275,0.25,0.48,4,0.4574165423884364
0.315,0.265,0.275,0.52,4,0.4574165423884364
0.385,0.36,0.35,0.425,4,0.4574165423884364
0.325,0.23,0.245,0.515,4,0.4574165423884364
0.35,0.32,0.34,0.455,4,0.4574165423884364
0.345,0.305,0.29,0.475,4,0.4574165423884364
0.365,0.38,0.375,0.46,4,0.4574165423884364
0.305,0.31,0.3,0.46,4,0.4574165423884364
0.35,0.295,0.315,0.485,4,0.4574165423884364
0.38,0.305,0.335,0.475,4,0.4574165423884364
0.235,0.285,0.285,0.44,4,0.4574165423884364
0.39,0.37,0.335,0.38,4,0.4574165423884364
0.345,0.37,0.36,0.425,4,0.4574165423884364
0.465,0.305,0.305,0.405,4,0.4574165423884364
0.29,0.33,0.31,0.46,4,0.4574165423884364
0.245,0.33,0.33,0.46,4,0.4574165423884364
0.425,0.3,0.315,0.49,4,0.4574165423884364
0.265,0.31,0.315,0.465,4,0.4574165423884364
0.215,0.3,0.295,0.37,4,0.4574165423884364
0.29,0.285,0.29,0.48,4,0.4574165423884364
0.33,0.365,0.375,0.44,4,0.4574165423884364
0.495,0.395,0.405,0.395,4,0.4574165423884364
0.345,0.295,0.28,0.49,4,0.4574165423884364
0.27,0.32,0.325,0.495,4,0.4574165423884364
