base,extra,test,majority,num_classes,majority_all
0.64,0.75,0.725,0.65,2,0.6222674986204847
0.705,0.735,0.76,0.635,2,0.6222674986204847
0.605,0.69,0.695,0.54,2,0.6222674986204847
0.645,0.695,0.735,0.6,2,0.6222674986204847
0.735,0.71,0.69,0.615,2,0.6222674986204847
0.69,0.74,0.74,0.69,2,0.6222674986204847
0.61,0.655,0.645,0.62,2,0.6222674986204847
0.74,0.66,0.695,0.635,2,0.6222674986204847
0.58,0.68,0.675,0.69,2,0.6222674986204847
0.69,0.72,0.705,0.625,2,0.6222674986204847
0.63,0.715,0.695,0.625,2,0.6222674986204847
0.63,0.73,0.73,0.665,2,0.6222674986204847
0.655,0.65,0.635,0.61,2,0.6222674986204847
0.675,0.72,0.73,0.655,2,0.6222674986204847
0.69,0.69,0.73,0.63,2,0.6222674986204847
0.715,0.74,0.705,0.63,2,0.6222674986204847
0.6,0.725,0.695,0.55,2,0.6222674986204847
0.645,0.745,0.735,0.655,2,0.6222674986204847
0.63,0.625,0.64,0.645,2,0.6222674986204847
0.645,0.655,0.64,0.65,2,0.6222674986204847
0.625,0.73,0.74,0.575,2,0.6222674986204847
0.615,0.7,0.735,0.595,2,0.6222674986204847
0.62,0.72,0.705,0.62,2,0.6222674986204847
0.69,0.78,0.77,0.67,2,0.6222674986204847
0.72,0.675,0.65,0.595,2,0.6222674986204847
0.65,0.715,0.715,0.6,2,0.6222674986204847
0.635,0.69,0.695,0.565,2,0.6222674986204847
0.63,0.74,0.76,0.63,2,0.6222674986204847
0.64,0.705,0.7,0.585,2,0.6222674986204847
0.66,0.675,0.675,0.635,2,0.6222674986204847
0.69,0.725,0.725,0.58,2,0.6222674986204847
0.69,0.685,0.675,0.64,2,0.6222674986204847
0.57,0.685,0.715,0.57,2,0.6222674986204847
0.615,0.65,0.675,0.64,2,0.6222674986204847
0.72,0.72,0.725,0.635,2,0.6222674986204847
0.565,0.665,0.71,0.57,2,0.6222674986204847
0.605,0.695,0.68,0.655,2,0.6222674986204847
0.61,0.74,0.74,0.625,2,0.6222674986204847
0.585,0.73,0.7,0.515,2,0.6222674986204847
0.725,0.74,0.735,0.625,2,0.6222674986204847
0.7,0.765,0.735,0.655,2,0.6222674986204847
0.59,0.655,0.67,0.585,2,0.6222674986204847
0.635,0.685,0.71,0.66,2,0.6222674986204847
0.65,0.68,0.66,0.575,2,0.6222674986204847
0.66,0.67,0.655,0.6,2,0.6222674986204847
0.695,0.74,0.745,0.61,2,0.6222674986204847
0.705,0.69,0.705,0.58,2,0.6222674986204847
0.7,0.725,0.685,0.655,2,0.6222674986204847
0.635,0.7,0.74,0.62,2,0.6222674986204847
0.69,0.76,0.775,0.625,2,0.6222674986204847
