base,extra,test,majority,num_classes,majority_all
0.3,0.32,0.3,0.54,3,0.6143992932862191
0.76,0.74,0.72,0.68,3,0.6143992932862191
0.68,0.52,0.7,0.7,3,0.6143992932862191
0.62,0.62,0.58,0.5,3,0.6143992932862191
0.34,0.42,0.6,0.56,3,0.6143992932862191
0.58,0.6,0.48,0.6,3,0.6143992932862191
0.4,0.44,0.46,0.62,3,0.6143992932862191
0.48,0.4,0.48,0.56,3,0.6143992932862191
0.64,0.56,0.5,0.58,3,0.6143992932862191
0.58,0.46,0.58,0.62,3,0.6143992932862191
0.52,0.58,0.54,0.56,3,0.6143992932862191
0.68,0.52,0.6,0.54,3,0.6143992932862191
0.56,0.22,0.3,0.64,3,0.6143992932862191
0.62,0.46,0.5,0.66,3,0.6143992932862191
0.62,0.62,0.76,0.62,3,0.6143992932862191
0.66,0.66,0.74,0.62,3,0.6143992932862191
0.56,0.38,0.3,0.5,3,0.6143992932862191
0.68,0.7,0.68,0.66,3,0.6143992932862191
0.52,0.62,0.66,0.58,3,0.6143992932862191
0.6,0.48,0.62,0.62,3,0.6143992932862191
0.72,0.62,0.56,0.68,3,0.6143992932862191
0.58,0.64,0.56,0.66,3,0.6143992932862191
0.66,0.68,0.76,0.66,3,0.6143992932862191
0.62,0.78,0.62,0.54,3,0.6143992932862191
0.78,0.88,0.26,0.64,3,0.6143992932862191
0.66,0.6,0.64,0.68,3,0.6143992932862191
0.54,0.58,0.72,0.66,3,0.6143992932862191
0.66,0.6,0.44,0.6,3,0.6143992932862191
0.66,0.74,0.76,0.66,3,0.6143992932862191
0.64,0.64,0.56,0.6,3,0.6143992932862191
0.6,0.64,0.5,0.68,3,0.6143992932862191
0.7,0.64,0.7,0.6,3,0.6143992932862191
0.72,0.7,0.32,0.68,3,0.6143992932862191
0.5,0.58,0.62,0.68,3,0.6143992932862191
0.48,0.66,0.62,0.68,3,0.6143992932862191
0.62,0.58,0.62,0.68,3,0.6143992932862191
0.56,0.56,0.68,0.74,3,0.6143992932862191
0.68,0.42,0.6,0.66,3,0.6143992932862191
0.56,0.58,0.34,0.52,3,0.6143992932862191
0.66,0.66,0.58,0.76,3,0.6143992932862191
0.66,0.68,0.28,0.64,3,0.6143992932862191
0.64,0.28,0.74,0.56,3,0.6143992932862191
0.68,0.54,0.72,0.62,3,0.6143992932862191
0.58,0.5,0.5,0.46,3,0.6143992932862191
0.62,0.48,0.7,0.68,3,0.6143992932862191
0.6,0.46,0.48,0.56,3,0.6143992932862191
0.62,0.72,0.64,0.62,3,0.6143992932862191
0.64,0.66,0.6,0.7,3,0.6143992932862191
0.66,0.52,0.38,0.66,3,0.6143992932862191
0.74,0.74,0.84,0.58,3,0.6143992932862191
0.48,0.66,0.62,0.64,3,0.6143992932862191
0.7,0.68,0.66,0.68,3,0.6143992932862191
0.62,0.62,0.44,0.58,3,0.6143992932862191
0.6,0.82,0.56,0.54,3,0.6143992932862191
0.72,0.56,0.72,0.7,3,0.6143992932862191
0.48,0.62,0.58,0.66,3,0.6143992932862191
0.7,0.48,0.34,0.58,3,0.6143992932862191
0.68,0.6,0.58,0.64,3,0.6143992932862191
0.66,0.44,0.52,0.66,3,0.6143992932862191
0.58,0.68,0.84,0.6,3,0.6143992932862191
0.54,0.54,0.8,0.54,3,0.6143992932862191
0.66,0.7,0.6,0.56,3,0.6143992932862191
0.64,0.66,0.72,0.66,3,0.6143992932862191
0.6,0.38,0.36,0.56,3,0.6143992932862191
0.56,0.58,0.66,0.64,3,0.6143992932862191
0.44,0.26,0.46,0.68,3,0.6143992932862191
0.66,0.7,0.8,0.74,3,0.6143992932862191
0.7,0.72,0.66,0.7,3,0.6143992932862191
0.66,0.74,0.68,0.64,3,0.6143992932862191
0.58,0.58,0.46,0.68,3,0.6143992932862191
0.52,0.48,0.52,0.52,3,0.6143992932862191
0.58,0.6,0.62,0.46,3,0.6143992932862191
0.64,0.64,0.54,0.72,3,0.6143992932862191
0.54,0.56,0.6,0.66,3,0.6143992932862191
0.46,0.52,0.4,0.52,3,0.6143992932862191
0.64,0.28,0.56,0.68,3,0.6143992932862191
0.62,0.58,0.56,0.62,3,0.6143992932862191
0.62,0.68,0.28,0.72,3,0.6143992932862191
0.64,0.58,0.6,0.5,3,0.6143992932862191
0.58,0.48,0.5,0.54,3,0.6143992932862191
0.62,0.18,0.7,0.64,3,0.6143992932862191
0.6,0.62,0.42,0.62,3,0.6143992932862191
0.68,0.2,0.72,0.58,3,0.6143992932862191
0.68,0.16,0.72,0.76,3,0.6143992932862191
0.68,0.56,0.58,0.58,3,0.6143992932862191
0.76,0.62,0.74,0.72,3,0.6143992932862191
0.68,0.72,0.78,0.78,3,0.6143992932862191
0.66,0.72,0.66,0.56,3,0.6143992932862191
0.54,0.62,0.5,0.54,3,0.6143992932862191
0.7,0.76,0.6,0.62,3,0.6143992932862191
0.52,0.52,0.8,0.66,3,0.6143992932862191
0.58,0.64,0.4,0.7,3,0.6143992932862191
0.66,0.6,0.6,0.58,3,0.6143992932862191
0.66,0.5,0.56,0.68,3,0.6143992932862191
0.62,0.66,0.74,0.7,3,0.6143992932862191
0.56,0.5,0.48,0.64,3,0.6143992932862191
0.6,0.4,0.72,0.62,3,0.6143992932862191
0.68,0.6,0.72,0.54,3,0.6143992932862191
0.44,0.6,0.56,0.64,3,0.6143992932862191
0.54,0.52,0.58,0.54,3,0.6143992932862191
