base,extra,test,majority,num_classes,majority_all
0.52,0.58,0.6,0.9,2,0.9298542018647143
0.6,0.62,0.56,0.96,2,0.9298542018647143
0.52,0.76,0.72,0.96,2,0.9298542018647143
0.62,0.72,0.72,0.94,2,0.9298542018647143
0.7,0.64,0.64,0.92,2,0.9298542018647143
0.68,0.64,0.66,0.96,2,0.9298542018647143
0.58,0.28,0.46,0.94,2,0.9298542018647143
0.7,0.62,0.82,0.92,2,0.9298542018647143
0.66,0.6,0.32,0.82,2,0.9298542018647143
0.72,0.46,0.64,0.96,2,0.9298542018647143
0.48,0.58,0.46,0.94,2,0.9298542018647143
0.52,0.54,0.5,0.86,2,0.9298542018647143
0.5,0.82,0.62,0.96,2,0.9298542018647143
0.4,0.64,0.66,0.88,2,0.9298542018647143
0.4,0.58,0.24,0.94,2,0.9298542018647143
0.34,0.44,0.5,0.94,2,0.9298542018647143
0.34,0.44,0.3,0.9,2,0.9298542018647143
0.24,0.4,0.38,0.96,2,0.9298542018647143
0.76,0.58,0.62,0.88,2,0.9298542018647143
0.26,0.52,0.56,0.92,2,0.9298542018647143
0.4,0.6,0.62,0.94,2,0.9298542018647143
0.68,0.84,0.66,0.98,2,0.9298542018647143
0.28,0.54,0.54,0.94,2,0.9298542018647143
0.74,0.62,0.6,0.94,2,0.9298542018647143
0.38,0.52,0.42,0.92,2,0.9298542018647143
0.74,0.66,0.54,0.96,2,0.9298542018647143
0.62,0.52,0.4,0.92,2,0.9298542018647143
0.82,0.58,0.58,0.94,2,0.9298542018647143
0.5,0.52,0.46,0.96,2,0.9298542018647143
0.54,0.46,0.46,0.92,2,0.9298542018647143
0.52,0.58,0.56,0.86,2,0.9298542018647143
0.62,0.52,0.56,0.94,2,0.9298542018647143
0.64,0.64,0.66,0.88,2,0.9298542018647143
0.54,0.6,0.6,0.96,2,0.9298542018647143
0.8,0.62,0.58,0.94,2,0.9298542018647143
0.72,0.66,0.6,0.94,2,0.9298542018647143
0.44,0.62,0.66,0.9,2,0.9298542018647143
0.7,0.56,0.64,0.94,2,0.9298542018647143
0.68,0.56,0.56,0.92,2,0.9298542018647143
0.52,0.36,0.34,0.92,2,0.9298542018647143
0.68,0.62,0.6,0.88,2,0.9298542018647143
0.22,0.46,0.5,0.9,2,0.9298542018647143
0.48,0.46,0.46,0.9,2,0.9298542018647143
0.36,0.42,0.4,0.96,2,0.9298542018647143
0.54,0.56,0.58,0.94,2,0.9298542018647143
0.74,0.46,0.48,0.94,2,0.9298542018647143
0.64,0.56,0.58,0.9,2,0.9298542018647143
0.7,0.66,0.7,0.94,2,0.9298542018647143
0.5,0.66,0.68,0.92,2,0.9298542018647143
0.34,0.52,0.62,0.9,2,0.9298542018647143
0.5,0.48,0.24,0.96,2,0.9298542018647143
0.7,0.7,0.72,0.92,2,0.9298542018647143
0.68,0.58,0.54,0.84,2,0.9298542018647143
0.16,0.64,0.68,0.92,2,0.9298542018647143
0.42,0.42,0.52,0.92,2,0.9298542018647143
0.74,0.5,0.58,0.94,2,0.9298542018647143
0.44,0.54,0.62,0.94,2,0.9298542018647143
0.56,0.48,0.58,0.94,2,0.9298542018647143
0.46,0.58,0.64,0.94,2,0.9298542018647143
0.76,0.7,0.66,0.94,2,0.9298542018647143
0.6,0.4,0.46,0.96,2,0.9298542018647143
0.48,0.4,0.42,0.92,2,0.9298542018647143
0.44,0.68,0.58,0.9,2,0.9298542018647143
0.58,0.68,0.58,0.88,2,0.9298542018647143
0.7,0.58,0.6,0.94,2,0.9298542018647143
0.46,0.44,0.44,0.94,2,0.9298542018647143
0.64,0.62,0.56,0.96,2,0.9298542018647143
0.68,0.6,0.52,0.98,2,0.9298542018647143
0.48,0.54,0.56,0.88,2,0.9298542018647143
0.5,0.54,0.52,0.9,2,0.9298542018647143
0.36,0.6,0.38,0.96,2,0.9298542018647143
0.38,0.58,0.38,0.96,2,0.9298542018647143
0.32,0.58,0.6,0.94,2,0.9298542018647143
0.74,0.46,0.52,0.9,2,0.9298542018647143
0.68,0.5,0.44,0.94,2,0.9298542018647143
0.52,0.58,0.36,0.92,2,0.9298542018647143
0.44,0.64,0.58,0.96,2,0.9298542018647143
0.66,0.6,0.62,0.94,2,0.9298542018647143
0.8,0.56,0.52,0.96,2,0.9298542018647143
0.8,0.34,0.34,0.96,2,0.9298542018647143
0.74,0.68,0.52,0.94,2,0.9298542018647143
0.58,0.42,0.46,0.96,2,0.9298542018647143
0.62,0.48,0.48,0.92,2,0.9298542018647143
0.62,0.56,0.56,0.94,2,0.9298542018647143
0.74,0.4,0.46,0.94,2,0.9298542018647143
0.4,0.62,0.72,0.94,2,0.9298542018647143
0.48,0.5,0.54,0.96,2,0.9298542018647143
0.42,0.5,0.54,0.9,2,0.9298542018647143
0.48,0.58,0.54,0.92,2,0.9298542018647143
0.38,0.4,0.46,0.92,2,0.9298542018647143
0.62,0.52,0.58,0.96,2,0.9298542018647143
0.74,0.5,0.48,0.94,2,0.9298542018647143
0.46,0.62,0.74,0.92,2,0.9298542018647143
0.68,0.52,0.52,0.94,2,0.9298542018647143
0.74,0.66,0.72,0.96,2,0.9298542018647143
0.32,0.6,0.6,0.96,2,0.9298542018647143
0.72,0.38,0.4,0.98,2,0.9298542018647143
0.56,0.74,0.74,0.92,2,0.9298542018647143
0.82,0.78,0.88,0.96,2,0.9298542018647143
0.48,0.48,0.5,0.92,2,0.9298542018647143
