base,extra,test,majority,num_classes,majority_all
0.18,0.2,0.18,0.64,5,0.6053286584624998
0.16,0.32,0.32,0.64,5,0.6053286584624998
0.3,0.12,0.2,0.58,5,0.6053286584624998
0.08,0.22,0.26,0.6,5,0.6053286584624998
0.08,0.08,0.14,0.6,5,0.6053286584624998
0.12,0.2,0.2,0.6,5,0.6053286584624998
0.22,0.4,0.42,0.58,5,0.6053286584624998
0.14,0.2,0.16,0.48,5,0.6053286584624998
0.26,0.22,0.22,0.62,5,0.6053286584624998
0.2,0.22,0.22,0.54,5,0.6053286584624998
0.2,0.36,0.34,0.56,5,0.6053286584624998
0.16,0.28,0.26,0.56,5,0.6053286584624998
0.16,0.26,0.36,0.62,5,0.6053286584624998
0.12,0.28,0.3,0.66,5,0.6053286584624998
0.32,0.22,0.26,0.54,5,0.6053286584624998
0.2,0.2,0.18,0.6,5,0.6053286584624998
0.08,0.1,0.1,0.58,5,0.6053286584624998
0.22,0.3,0.24,0.6,5,0.6053286584624998
0.12,0.32,0.34,0.6,5,0.6053286584624998
0.08,0.32,0.32,0.66,5,0.6053286584624998
0.12,0.3,0.26,0.64,5,0.6053286584624998
0.22,0.14,0.16,0.62,5,0.6053286584624998
0.14,0.2,0.14,0.52,5,0.6053286584624998
0.18,0.1,0.12,0.54,5,0.6053286584624998
0.24,0.22,0.24,0.48,5,0.6053286584624998
0.1,0.14,0.16,0.58,5,0.6053286584624998
0.08,0.26,0.22,0.68,5,0.6053286584624998
0.12,0.26,0.24,0.52,5,0.6053286584624998
0.14,0.24,0.26,0.54,5,0.6053286584624998
0.24,0.3,0.3,0.56,5,0.6053286584624998
0.16,0.12,0.16,0.44,5,0.6053286584624998
0.16,0.24,0.26,0.64,5,0.6053286584624998
0.18,0.2,0.24,0.52,5,0.6053286584624998
0.2,0.16,0.14,0.64,5,0.6053286584624998
0.14,0.34,0.34,0.68,5,0.6053286584624998
0.2,0.32,0.3,0.56,5,0.6053286584624998
0.14,0.16,0.18,0.48,5,0.6053286584624998
0.08,0.1,0.1,0.7,5,0.6053286584624998
0.12,0.18,0.2,0.62,5,0.6053286584624998
0.14,0.32,0.32,0.54,5,0.6053286584624998
0.2,0.24,0.22,0.58,5,0.6053286584624998
0.2,0.28,0.28,0.68,5,0.6053286584624998
0.18,0.24,0.26,0.5,5,0.6053286584624998
0.12,0.18,0.16,0.52,5,0.6053286584624998
0.16,0.34,0.28,0.76,5,0.6053286584624998
0.16,0.22,0.2,0.6,5,0.6053286584624998
0.1,0.26,0.24,0.62,5,0.6053286584624998
0.16,0.18,0.2,0.64,5,0.6053286584624998
0.14,0.26,0.24,0.68,5,0.6053286584624998
0.24,0.34,0.36,0.62,5,0.6053286584624998
0.18,0.3,0.22,0.6,5,0.6053286584624998
0.06,0.12,0.24,0.52,5,0.6053286584624998
0.14,0.24,0.28,0.56,5,0.6053286584624998
0.14,0.32,0.3,0.68,5,0.6053286584624998
0.2,0.22,0.22,0.54,5,0.6053286584624998
0.2,0.18,0.24,0.62,5,0.6053286584624998
0.24,0.28,0.28,0.58,5,0.6053286584624998
0.12,0.28,0.3,0.54,5,0.6053286584624998
0.18,0.18,0.2,0.5,5,0.6053286584624998
0.12,0.16,0.24,0.62,5,0.6053286584624998
0.12,0.22,0.26,0.6,5,0.6053286584624998
0.2,0.16,0.28,0.6,5,0.6053286584624998
0.16,0.28,0.26,0.64,5,0.6053286584624998
0.14,0.18,0.14,0.62,5,0.6053286584624998
0.16,0.14,0.16,0.72,5,0.6053286584624998
0.1,0.2,0.22,0.54,5,0.6053286584624998
0.16,0.14,0.2,0.66,5,0.6053286584624998
0.1,0.3,0.32,0.42,5,0.6053286584624998
0.12,0.16,0.16,0.68,5,0.6053286584624998
0.12,0.24,0.2,0.6,5,0.6053286584624998
0.2,0.2,0.26,0.7,5,0.6053286584624998
0.2,0.24,0.18,0.66,5,0.6053286584624998
0.12,0.24,0.26,0.62,5,0.6053286584624998
0.16,0.14,0.18,0.5,5,0.6053286584624998
0.12,0.3,0.3,0.52,5,0.6053286584624998
0.18,0.16,0.2,0.48,5,0.6053286584624998
0.22,0.28,0.36,0.54,5,0.6053286584624998
0.1,0.12,0.18,0.5,5,0.6053286584624998
0.06,0.26,0.28,0.52,5,0.6053286584624998
0.1,0.16,0.2,0.64,5,0.6053286584624998
0.2,0.26,0.32,0.56,5,0.6053286584624998
0.14,0.16,0.16,0.54,5,0.6053286584624998
0.22,0.22,0.18,0.64,5,0.6053286584624998
0.06,0.26,0.28,0.78,5,0.6053286584624998
0.2,0.16,0.16,0.54,5,0.6053286584624998
0.18,0.26,0.2,0.64,5,0.6053286584624998
0.1,0.18,0.2,0.48,5,0.6053286584624998
0.22,0.3,0.28,0.6,5,0.6053286584624998
0.2,0.3,0.28,0.6,5,0.6053286584624998
0.14,0.32,0.28,0.56,5,0.6053286584624998
0.24,0.34,0.32,0.58,5,0.6053286584624998
0.22,0.16,0.14,0.5,5,0.6053286584624998
0.06,0.18,0.18,0.66,5,0.6053286584624998
0.2,0.22,0.26,0.68,5,0.6053286584624998
0.12,0.22,0.22,0.52,5,0.6053286584624998
0.1,0.1,0.14,0.76,5,0.6053286584624998
0.12,0.2,0.18,0.66,5,0.6053286584624998
0.18,0.26,0.26,0.66,5,0.6053286584624998
0.12,0.28,0.24,0.56,5,0.6053286584624998
0.12,0.24,0.24,0.58,5,0.6053286584624998
