base,extra,test,majority,num_classes,majority_all
0.6,0.54,0.54,0.56,2,0.5096165973010468
0.48,0.48,0.48,0.68,2,0.5096165973010468
0.58,0.64,0.6,0.54,2,0.5096165973010468
0.66,0.5,0.5,0.52,2,0.5096165973010468
0.6,0.54,0.54,0.58,2,0.5096165973010468
0.72,0.74,0.8,0.52,2,0.5096165973010468
0.7,0.5,0.5,0.56,2,0.5096165973010468
0.62,0.68,0.66,0.54,2,0.5096165973010468
0.76,0.52,0.5,0.62,2,0.5096165973010468
0.54,0.7,0.74,0.54,2,0.5096165973010468
0.58,0.54,0.54,0.58,2,0.5096165973010468
0.66,0.58,0.62,0.58,2,0.5096165973010468
0.54,0.58,0.64,0.52,2,0.5096165973010468
0.64,0.64,0.66,0.56,2,0.5096165973010468
0.46,0.52,0.5,0.52,2,0.5096165973010468
0.68,0.54,0.52,0.5,2,0.5096165973010468
0.58,0.56,0.52,0.5,2,0.5096165973010468
0.68,0.64,0.64,0.5,2,0.5096165973010468
0.5,0.64,0.6,0.58,2,0.5096165973010468
0.62,0.68,0.64,0.56,2,0.5096165973010468
0.68,0.64,0.62,0.56,2,0.5096165973010468
0.54,0.64,0.66,0.56,2,0.5096165973010468
0.64,0.64,0.62,0.56,2,0.5096165973010468
0.6,0.64,0.62,0.58,2,0.5096165973010468
0.52,0.5,0.5,0.56,2,0.5096165973010468
0.52,0.66,0.62,0.62,2,0.5096165973010468
0.54,0.6,0.64,0.5,2,0.5096165973010468
0.54,0.48,0.52,0.54,2,0.5096165973010468
0.54,0.7,0.64,0.52,2,0.5096165973010468
0.64,0.66,0.64,0.54,2,0.5096165973010468
0.62,0.56,0.58,0.56,2,0.5096165973010468
0.52,0.58,0.6,0.52,2,0.5096165973010468
0.48,0.62,0.66,0.52,2,0.5096165973010468
0.52,0.48,0.54,0.52,2,0.5096165973010468
0.4,0.6,0.58,0.62,2,0.5096165973010468
0.54,0.62,0.68,0.6,2,0.5096165973010468
0.58,0.56,0.62,0.54,2,0.5096165973010468
0.42,0.6,0.62,0.52,2,0.5096165973010468
0.52,0.54,0.5,0.58,2,0.5096165973010468
0.64,0.62,0.6,0.52,2,0.5096165973010468
0.5,0.6,0.6,0.58,2,0.5096165973010468
0.58,0.64,0.58,0.56,2,0.5096165973010468
0.64,0.7,0.68,0.56,2,0.5096165973010468
0.52,0.7,0.7,0.54,2,0.5096165973010468
0.56,0.52,0.48,0.52,2,0.5096165973010468
0.58,0.58,0.56,0.5,2,0.5096165973010468
0.58,0.48,0.5,0.6,2,0.5096165973010468
0.66,0.66,0.62,0.52,2,0.5096165973010468
0.7,0.62,0.62,0.64,2,0.5096165973010468
0.5,0.54,0.54,0.58,2,0.5096165973010468
0.7,0.54,0.6,0.58,2,0.5096165973010468
0.6,0.56,0.54,0.54,2,0.5096165973010468
0.54,0.62,0.64,0.58,2,0.5096165973010468
0.68,0.58,0.58,0.56,2,0.5096165973010468
0.62,0.44,0.38,0.52,2,0.5096165973010468
0.6,0.54,0.48,0.56,2,0.5096165973010468
0.62,0.58,0.6,0.6,2,0.5096165973010468
0.62,0.54,0.62,0.54,2,0.5096165973010468
0.42,0.7,0.74,0.56,2,0.5096165973010468
0.7,0.6,0.62,0.52,2,0.5096165973010468
0.62,0.48,0.48,0.52,2,0.5096165973010468
0.46,0.78,0.78,0.54,2,0.5096165973010468
0.62,0.64,0.6,0.5,2,0.5096165973010468
0.58,0.64,0.6,0.56,2,0.5096165973010468
0.54,0.64,0.62,0.52,2,0.5096165973010468
0.6,0.48,0.56,0.6,2,0.5096165973010468
0.54,0.64,0.64,0.5,2,0.5096165973010468
0.7,0.64,0.66,0.5,2,0.5096165973010468
0.62,0.54,0.58,0.56,2,0.5096165973010468
0.6,0.7,0.7,0.56,2,0.5096165973010468
0.48,0.6,0.62,0.66,2,0.5096165973010468
0.64,0.6,0.58,0.54,2,0.5096165973010468
0.64,0.58,0.5,0.7,2,0.5096165973010468
0.64,0.58,0.58,0.52,2,0.5096165973010468
0.48,0.5,0.54,0.5,2,0.5096165973010468
0.58,0.56,0.54,0.58,2,0.5096165973010468
0.56,0.66,0.6,0.52,2,0.5096165973010468
0.54,0.62,0.64,0.54,2,0.5096165973010468
0.54,0.52,0.5,0.64,2,0.5096165973010468
0.68,0.48,0.52,0.6,2,0.5096165973010468
0.72,0.66,0.66,0.54,2,0.5096165973010468
0.56,0.56,0.56,0.56,2,0.5096165973010468
0.56,0.6,0.56,0.54,2,0.5096165973010468
0.68,0.62,0.62,0.6,2,0.5096165973010468
0.46,0.7,0.74,0.52,2,0.5096165973010468
0.7,0.72,0.74,0.62,2,0.5096165973010468
0.6,0.74,0.74,0.6,2,0.5096165973010468
0.72,0.64,0.56,0.54,2,0.5096165973010468
0.58,0.54,0.62,0.64,2,0.5096165973010468
0.54,0.64,0.64,0.52,2,0.5096165973010468
0.6,0.72,0.66,0.58,2,0.5096165973010468
0.66,0.5,0.54,0.54,2,0.5096165973010468
0.64,0.58,0.62,0.54,2,0.5096165973010468
0.58,0.54,0.62,0.6,2,0.5096165973010468
0.5,0.7,0.68,0.54,2,0.5096165973010468
0.68,0.64,0.68,0.54,2,0.5096165973010468
0.54,0.66,0.66,0.56,2,0.5096165973010468
0.44,0.6,0.58,0.52,2,0.5096165973010468
0.54,0.6,0.54,0.52,2,0.5096165973010468
0.66,0.66,0.66,0.6,2,0.5096165973010468
