base,extra,test,majority,num_classes,majority_all
0.6,0.6,0.56,0.64,2,0.5
0.76,0.62,0.68,0.58,2,0.5
0.66,0.6,0.62,0.56,2,0.5
0.54,0.56,0.56,0.52,2,0.5
0.64,0.62,0.62,0.58,2,0.5
0.6,0.54,0.6,0.54,2,0.5
0.62,0.62,0.6,0.5,2,0.5
0.6,0.64,0.62,0.52,2,0.5
0.76,0.72,0.68,0.54,2,0.5
0.56,0.56,0.64,0.64,2,0.5
0.58,0.62,0.68,0.54,2,0.5
0.62,0.64,0.68,0.52,2,0.5
0.56,0.6,0.56,0.52,2,0.5
0.72,0.72,0.66,0.6,2,0.5
0.62,0.66,0.58,0.58,2,0.5
0.66,0.52,0.52,0.54,2,0.5
0.74,0.72,0.72,0.54,2,0.5
0.64,0.68,0.68,0.52,2,0.5
0.68,0.68,0.76,0.5,2,0.5
0.6,0.62,0.66,0.52,2,0.5
0.62,0.64,0.5,0.58,2,0.5
0.74,0.54,0.6,0.54,2,0.5
0.64,0.66,0.62,0.64,2,0.5
0.6,0.54,0.52,0.64,2,0.5
0.58,0.64,0.64,0.54,2,0.5
0.58,0.6,0.7,0.54,2,0.5
0.62,0.66,0.68,0.54,2,0.5
0.5,0.54,0.5,0.54,2,0.5
0.48,0.68,0.66,0.52,2,0.5
0.66,0.76,0.78,0.5,2,0.5
0.56,0.66,0.64,0.54,2,0.5
0.62,0.66,0.62,0.64,2,0.5
0.62,0.72,0.74,0.58,2,0.5
0.68,0.52,0.54,0.5,2,0.5
0.68,0.62,0.62,0.52,2,0.5
0.56,0.68,0.66,0.5,2,0.5
0.6,0.58,0.52,0.58,2,0.5
0.62,0.5,0.52,0.52,2,0.5
0.64,0.6,0.52,0.56,2,0.5
0.7,0.52,0.46,0.6,2,0.5
0.68,0.74,0.7,0.56,2,0.5
0.58,0.7,0.68,0.52,2,0.5
0.74,0.82,0.8,0.54,2,0.5
0.5,0.56,0.56,0.6,2,0.5
0.6,0.68,0.7,0.56,2,0.5
0.68,0.72,0.74,0.54,2,0.5
0.66,0.62,0.6,0.54,2,0.5
0.64,0.68,0.64,0.52,2,0.5
0.52,0.54,0.52,0.56,2,0.5
0.68,0.5,0.5,0.56,2,0.5
0.64,0.54,0.58,0.54,2,0.5
0.72,0.58,0.62,0.56,2,0.5
0.54,0.54,0.56,0.54,2,0.5
0.7,0.66,0.7,0.56,2,0.5
0.58,0.62,0.62,0.54,2,0.5
0.58,0.64,0.64,0.5,2,0.5
0.64,0.64,0.64,0.52,2,0.5
0.6,0.66,0.66,0.54,2,0.5
0.5,0.52,0.54,0.56,2,0.5
0.62,0.58,0.62,0.58,2,0.5
0.5,0.58,0.54,0.6,2,0.5
0.56,0.56,0.54,0.5,2,0.5
0.62,0.66,0.68,0.56,2,0.5
0.56,0.78,0.66,0.52,2,0.5
0.56,0.56,0.58,0.6,2,0.5
0.48,0.48,0.54,0.56,2,0.5
0.66,0.74,0.74,0.52,2,0.5
0.62,0.64,0.62,0.52,2,0.5
0.64,0.76,0.76,0.56,2,0.5
0.72,0.66,0.7,0.6,2,0.5
0.66,0.7,0.72,0.52,2,0.5
0.68,0.72,0.78,0.52,2,0.5
0.56,0.72,0.72,0.52,2,0.5
0.56,0.48,0.52,0.6,2,0.5
0.74,0.76,0.7,0.52,2,0.5
0.54,0.48,0.54,0.6,2,0.5
0.52,0.56,0.64,0.54,2,0.5
0.72,0.68,0.68,0.52,2,0.5
0.64,0.66,0.58,0.52,2,0.5
0.64,0.68,0.68,0.5,2,0.5
0.72,0.72,0.78,0.54,2,0.5
0.56,0.58,0.62,0.56,2,0.5
0.66,0.6,0.72,0.52,2,0.5
0.66,0.6,0.7,0.56,2,0.5
0.56,0.6,0.62,0.58,2,0.5
0.56,0.52,0.56,0.62,2,0.5
0.6,0.6,0.58,0.56,2,0.5
0.56,0.62,0.6,0.54,2,0.5
0.64,0.66,0.66,0.56,2,0.5
0.7,0.54,0.62,0.52,2,0.5
0.54,0.64,0.62,0.58,2,0.5
0.62,0.6,0.48,0.5,2,0.5
0.66,0.68,0.54,0.6,2,0.5
0.62,0.72,0.72,0.56,2,0.5
0.7,0.58,0.66,0.52,2,0.5
0.48,0.62,0.6,0.58,2,0.5
0.74,0.72,0.7,0.5,2,0.5
0.66,0.6,0.64,0.56,2,0.5
0.56,0.66,0.62,0.58,2,0.5
0.7,0.72,0.58,0.54,2,0.5
