base,extra,test,majority,num_classes,majority_all
0.53,0.532,0.6,0.504,2,0.5186701999518188
0.502,0.498,0.518,0.508,2,0.5186701999518188
0.622,0.608,0.57,0.504,2,0.5186701999518188
0.598,0.568,0.582,0.5,2,0.5186701999518188
0.636,0.498,0.548,0.542,2,0.5186701999518188
0.552,0.57,0.54,0.514,2,0.5186701999518188
0.634,0.596,0.614,0.54,2,0.5186701999518188
0.602,0.584,0.602,0.514,2,0.5186701999518188
0.616,0.616,0.588,0.522,2,0.5186701999518188
0.596,0.6,0.596,0.518,2,0.5186701999518188
0.622,0.61,0.538,0.506,2,0.5186701999518188
0.576,0.556,0.496,0.552,2,0.5186701999518188
0.67,0.634,0.58,0.538,2,0.5186701999518188
0.556,0.56,0.514,0.532,2,0.5186701999518188
0.644,0.612,0.632,0.532,2,0.5186701999518188
0.612,0.566,0.654,0.552,2,0.5186701999518188
0.566,0.582,0.568,0.534,2,0.5186701999518188
0.616,0.56,0.55,0.51,2,0.5186701999518188
0.582,0.608,0.618,0.554,2,0.5186701999518188
0.604,0.54,0.55,0.532,2,0.5186701999518188
