base,extra,test,majority,num_classes,majority_all
0.592,0.682,0.738,0.256,4,0.25
0.652,0.836,0.752,0.262,4,0.25
0.67,0.806,0.71,0.282,4,0.25
0.52,0.424,0.702,0.284,4,0.25
0.512,0.762,0.768,0.268,4,0.25
0.638,0.744,0.716,0.266,4,0.25
0.528,0.762,0.546,0.266,4,0.25
0.63,0.764,0.722,0.274,4,0.25
0.604,0.678,0.69,0.26,4,0.25
0.68,0.782,0.726,0.294,4,0.25
0.528,0.748,0.734,0.27,4,0.25
0.566,0.686,0.694,0.28,4,0.25
0.648,0.764,0.808,0.282,4,0.25
0.61,0.726,0.696,0.284,4,0.25
0.522,0.716,0.68,0.294,4,0.25
0.53,0.77,0.704,0.258,4,0.25
0.646,0.768,0.752,0.268,4,0.25
0.704,0.764,0.728,0.26,4,0.25
0.588,0.726,0.706,0.252,4,0.25
0.656,0.77,0.718,0.272,4,0.25
