base,extra,test,majority,num_classes,majority_all
0.096,0.27,0.23,0.606,5,0.6053286584624998
0.102,0.232,0.224,0.636,5,0.6053286584624998
0.164,0.322,0.212,0.61,5,0.6053286584624998
0.098,0.292,0.314,0.592,5,0.6053286584624998
0.092,0.122,0.106,0.594,5,0.6053286584624998
0.122,0.21,0.144,0.6,5,0.6053286584624998
0.11,0.118,0.238,0.616,5,0.6053286584624998
0.14,0.458,0.356,0.598,5,0.6053286584624998
0.158,0.238,0.428,0.596,5,0.6053286584624998
0.156,0.44,0.488,0.614,5,0.6053286584624998
0.12,0.176,0.52,0.616,5,0.6053286584624998
0.136,0.274,0.294,0.604,5,0.6053286584624998
0.118,0.182,0.182,0.574,5,0.6053286584624998
0.128,0.482,0.316,0.614,5,0.6053286584624998
0.1,0.388,0.26,0.588,5,0.6053286584624998
0.118,0.39,0.278,0.636,5,0.6053286584624998
0.122,0.364,0.428,0.622,5,0.6053286584624998
0.11,0.452,0.43,0.618,5,0.6053286584624998
0.156,0.156,0.174,0.566,5,0.6053286584624998
0.134,0.342,0.304,0.596,5,0.6053286584624998
