base,extra,test,majority,num_classes,majority_all
0.358,0.26,0.408,0.406,4,0.4260586319218241
0.38,0.214,0.248,0.452,4,0.4260586319218241
0.304,0.158,0.146,0.434,4,0.4260586319218241
0.2,0.234,0.218,0.454,4,0.4260586319218241
0.172,0.242,0.416,0.44,4,0.4260586319218241
0.19,0.308,0.382,0.444,4,0.4260586319218241
0.168,0.206,0.198,0.4,4,0.4260586319218241
0.25,0.232,0.236,0.44,4,0.4260586319218241
0.15,0.384,0.396,0.422,4,0.4260586319218241
0.386,0.344,0.368,0.45,4,0.4260586319218241
0.288,0.204,0.334,0.412,4,0.4260586319218241
0.33,0.184,0.154,0.42,4,0.4260586319218241
0.372,0.174,0.276,0.438,4,0.4260586319218241
0.16,0.266,0.244,0.432,4,0.4260586319218241
0.348,0.374,0.276,0.436,4,0.4260586319218241
0.306,0.266,0.274,0.422,4,0.4260586319218241
0.224,0.328,0.17,0.436,4,0.4260586319218241
0.392,0.23,0.28,0.45,4,0.4260586319218241
0.268,0.274,0.172,0.472,4,0.4260586319218241
0.174,0.176,0.204,0.428,4,0.4260586319218241
