base,extra,test,majority,num_classes,majority_all
0.868,0.88,0.886,0.496,3,0.4950914982844072
0.91,0.836,0.906,0.52,3,0.4950914982844072
0.838,0.934,0.924,0.498,3,0.4950914982844072
0.812,0.882,0.902,0.506,3,0.4950914982844072
0.68,0.914,0.904,0.486,3,0.4950914982844072
0.754,0.858,0.86,0.466,3,0.4950914982844072
0.856,0.89,0.832,0.514,3,0.4950914982844072
0.826,0.898,0.938,0.466,3,0.4950914982844072
0.862,0.882,0.886,0.512,3,0.4950914982844072
0.792,0.83,0.894,0.486,3,0.4950914982844072
0.816,0.852,0.87,0.484,3,0.4950914982844072
0.82,0.87,0.854,0.504,3,0.4950914982844072
0.86,0.89,0.926,0.508,3,0.4950914982844072
0.842,0.822,0.886,0.486,3,0.4950914982844072
0.848,0.834,0.842,0.458,3,0.4950914982844072
0.864,0.766,0.936,0.498,3,0.4950914982844072
0.872,0.85,0.932,0.502,3,0.4950914982844072
0.872,0.914,0.842,0.49,3,0.4950914982844072
0.82,0.91,0.906,0.5,3,0.4950914982844072
0.85,0.894,0.862,0.512,3,0.4950914982844072
