base,extra,test,majority,num_classes,majority_all
0.732,0.716,0.72,0.592,2,0.6222674986204847
0.702,0.654,0.602,0.618,2,0.6222674986204847
0.696,0.746,0.754,0.576,2,0.6222674986204847
0.738,0.646,0.626,0.632,2,0.6222674986204847
0.66,0.646,0.696,0.646,2,0.6222674986204847
0.74,0.71,0.724,0.678,2,0.6222674986204847
0.666,0.636,0.626,0.632,2,0.6222674986204847
0.752,0.65,0.744,0.606,2,0.6222674986204847
0.688,0.666,0.674,0.64,2,0.6222674986204847
0.736,0.724,0.712,0.624,2,0.6222674986204847
0.646,0.7,0.686,0.606,2,0.6222674986204847
0.72,0.726,0.686,0.64,2,0.6222674986204847
0.704,0.726,0.722,0.626,2,0.6222674986204847
0.716,0.636,0.694,0.636,2,0.6222674986204847
0.688,0.672,0.658,0.614,2,0.6222674986204847
0.722,0.668,0.702,0.64,2,0.6222674986204847
0.68,0.664,0.706,0.572,2,0.6222674986204847
0.688,0.672,0.706,0.614,2,0.6222674986204847
0.654,0.582,0.628,0.65,2,0.6222674986204847
0.684,0.726,0.69,0.632,2,0.6222674986204847
