base,extra,test,majority,num_classes,majority_all
0.156,0.114,0.13,0.148,18,0.1466041340976203
0.116,0.098,0.132,0.17,18,0.1466041340976203
0.126,0.154,0.052,0.124,18,0.1466041340976203
0.124,0.156,0.216,0.128,18,0.1466041340976203
0.11,0.148,0.05,0.156,18,0.1466041340976203
0.092,0.094,0.202,0.154,18,0.1466041340976203
0.136,0.158,0.106,0.148,18,0.1466041340976203
0.128,0.098,0.126,0.142,18,0.1466041340976203
0.156,0.222,0.182,0.134,18,0.1466041340976203
0.12,0.152,0.252,0.14,18,0.1466041340976203
0.096,0.086,0.178,0.166,18,0.1466041340976203
0.142,0.16,0.19,0.164,18,0.1466041340976203
0.104,0.072,0.222,0.17,18,0.1466041340976203
0.132,0.174,0.126,0.148,18,0.1466041340976203
0.084,0.172,0.08,0.174,18,0.1466041340976203
0.148,0.11,0.308,0.174,18,0.1466041340976203
0.122,0.188,0.166,0.144,18,0.1466041340976203
0.094,0.102,0.044,0.168,18,0.1466041340976203
0.144,0.22,0.08,0.154,18,0.1466041340976203
0.14,0.22,0.1,0.178,18,0.1466041340976203
