base,extra,test,majority,num_classes,majority_all
0.122,0.324,0.384,0.144,11,0.13959277462181655
0.204,0.366,0.366,0.14,11,0.13959277462181655
0.086,0.312,0.352,0.138,11,0.13959277462181655
0.206,0.206,0.308,0.154,11,0.13959277462181655
0.202,0.326,0.364,0.152,11,0.13959277462181655
0.254,0.474,0.168,0.16,11,0.13959277462181655
0.216,0.372,0.288,0.15,11,0.13959277462181655
0.198,0.392,0.402,0.162,11,0.13959277462181655
0.14,0.418,0.404,0.15,11,0.13959277462181655
0.128,0.354,0.37,0.14,11,0.13959277462181655
0.186,0.312,0.27,0.156,11,0.13959277462181655
0.252,0.444,0.312,0.134,11,0.13959277462181655
0.158,0.398,0.306,0.15,11,0.13959277462181655
0.2,0.424,0.382,0.134,11,0.13959277462181655
0.21,0.484,0.362,0.158,11,0.13959277462181655
0.232,0.278,0.328,0.134,11,0.13959277462181655
0.12,0.162,0.148,0.126,11,0.13959277462181655
0.128,0.258,0.112,0.128,11,0.13959277462181655
0.144,0.298,0.364,0.15,11,0.13959277462181655
0.204,0.428,0.33,0.18,11,0.13959277462181655
