base,extra,test,majority,num_classes,majority_all
0.586,0.614,0.56,0.508,2,0.5
0.612,0.536,0.66,0.53,2,0.5
0.716,0.636,0.746,0.5,2,0.5
0.648,0.628,0.552,0.512,2,0.5
0.684,0.548,0.548,0.506,2,0.5
0.546,0.716,0.642,0.516,2,0.5
0.572,0.61,0.698,0.512,2,0.5
0.636,0.72,0.706,0.532,2,0.5
0.608,0.544,0.644,0.522,2,0.5
0.546,0.696,0.658,0.53,2,0.5
0.576,0.622,0.678,0.502,2,0.5
0.612,0.652,0.742,0.534,2,0.5
0.562,0.63,0.632,0.516,2,0.5
0.636,0.624,0.674,0.512,2,0.5
0.682,0.78,0.6,0.518,2,0.5
0.62,0.54,0.666,0.514,2,0.5
0.642,0.686,0.612,0.512,2,0.5
0.65,0.674,0.798,0.502,2,0.5
0.552,0.596,0.73,0.516,2,0.5
0.648,0.73,0.504,0.504,2,0.5
