base,extra,test,majority,num_classes,majority_all
0.296,0.378,0.35,0.256,4,0.25
0.388,0.288,0.334,0.262,4,0.25
0.286,0.316,0.294,0.282,4,0.25
0.304,0.33,0.336,0.284,4,0.25
0.294,0.364,0.368,0.268,4,0.25
0.328,0.278,0.316,0.266,4,0.25
0.306,0.258,0.274,0.266,4,0.25
0.34,0.318,0.31,0.274,4,0.25
0.264,0.356,0.362,0.26,4,0.25
0.31,0.322,0.31,0.294,4,0.25
0.29,0.326,0.302,0.27,4,0.25
0.312,0.272,0.27,0.28,4,0.25
0.328,0.362,0.326,0.282,4,0.25
0.306,0.338,0.318,0.284,4,0.25
0.322,0.372,0.364,0.294,4,0.25
0.374,0.28,0.332,0.258,4,0.25
0.326,0.35,0.352,0.268,4,0.25
0.318,0.296,0.288,0.26,4,0.25
0.316,0.286,0.278,0.252,4,0.25
0.278,0.3,0.266,0.272,4,0.25
