base,extra,test,majority,num_classes,majority_all
0.21,0.2,0.192,0.24,6,0.2484942685059258
0.17,0.142,0.136,0.22,6,0.2484942685059258
0.2,0.18,0.18,0.252,6,0.2484942685059258
0.214,0.172,0.216,0.25,6,0.2484942685059258
0.23,0.184,0.164,0.238,6,0.2484942685059258
0.25,0.158,0.15,0.244,6,0.2484942685059258
0.16,0.19,0.172,0.234,6,0.2484942685059258
0.234,0.19,0.178,0.264,6,0.2484942685059258
0.174,0.216,0.23,0.232,6,0.2484942685059258
0.198,0.178,0.18,0.254,6,0.2484942685059258
0.228,0.176,0.178,0.224,6,0.2484942685059258
0.214,0.254,0.24,0.302,6,0.2484942685059258
0.218,0.166,0.186,0.26,6,0.2484942685059258
0.208,0.206,0.198,0.264,6,0.2484942685059258
0.208,0.174,0.198,0.234,6,0.2484942685059258
0.25,0.176,0.172,0.266,6,0.2484942685059258
0.196,0.164,0.196,0.266,6,0.2484942685059258
0.194,0.17,0.152,0.26,6,0.2484942685059258
0.232,0.146,0.142,0.25,6,0.2484942685059258
0.19,0.144,0.138,0.23,6,0.2484942685059258
