base,extra,test,majority,num_classes,majority_all
0.494,0.746,0.712,0.502,2,0.5
0.658,0.74,0.738,0.508,2,0.5
0.612,0.712,0.718,0.514,2,0.5
0.632,0.718,0.706,0.516,2,0.5
0.656,0.766,0.78,0.504,2,0.5
0.702,0.734,0.736,0.506,2,0.5
0.606,0.688,0.68,0.518,2,0.5
0.728,0.8,0.784,0.508,2,0.5
0.64,0.716,0.734,0.514,2,0.5
0.644,0.744,0.716,0.534,2,0.5
0.624,0.65,0.66,0.51,2,0.5
0.664,0.756,0.746,0.514,2,0.5
0.662,0.786,0.776,0.502,2,0.5
0.602,0.718,0.724,0.504,2,0.5
0.678,0.742,0.732,0.502,2,0.5
0.686,0.794,0.774,0.518,2,0.5
0.624,0.758,0.736,0.528,2,0.5
0.716,0.778,0.792,0.534,2,0.5
0.638,0.726,0.708,0.514,2,0.5
0.622,0.69,0.688,0.514,2,0.5
