base,extra,test,majority,num_classes,majority_all
0.32,0.436,0.376,0.47,4,0.4574165423884364
0.28,0.374,0.382,0.462,4,0.4574165423884364
0.356,0.484,0.442,0.446,4,0.4574165423884364
0.362,0.456,0.352,0.462,4,0.4574165423884364
0.338,0.38,0.382,0.432,4,0.4574165423884364
0.34,0.384,0.432,0.468,4,0.4574165423884364
0.344,0.444,0.374,0.46,4,0.4574165423884364
0.33,0.406,0.43,0.444,4,0.4574165423884364
0.318,0.442,0.43,0.496,4,0.4574165423884364
0.3,0.39,0.466,0.474,4,0.4574165423884364
0.384,0.466,0.404,0.458,4,0.4574165423884364
0.428,0.316,0.392,0.48,4,0.4574165423884364
0.29,0.48,0.306,0.462,4,0.4574165423884364
0.314,0.414,0.392,0.46,4,0.4574165423884364
0.334,0.37,0.338,0.47,4,0.4574165423884364
0.328,0.452,0.454,0.464,4,0.4574165423884364
0.38,0.412,0.428,0.476,4,0.4574165423884364
0.326,0.424,0.386,0.464,4,0.4574165423884364
0.338,0.35,0.398,0.45,4,0.4574165423884364
0.254,0.42,0.368,0.454,4,0.4574165423884364
