base,extra,test,majority,num_classes,majority_all
0.084,0.104,0.1,0.12,10,0.1
0.122,0.09,0.104,0.12,10,0.1
0.102,0.096,0.092,0.116,10,0.1
0.11,0.092,0.094,0.118,10,0.1
0.104,0.1,0.102,0.126,10,0.1
0.1,0.096,0.098,0.138,10,0.1
0.136,0.122,0.128,0.118,10,0.1
0.096,0.106,0.11,0.124,10,0.1
0.096,0.128,0.124,0.13,10,0.1
0.112,0.088,0.082,0.114,10,0.1
0.092,0.106,0.108,0.12,10,0.1
0.084,0.114,0.108,0.12,10,0.1
0.088,0.106,0.104,0.124,10,0.1
0.106,0.09,0.084,0.116,10,0.1
0.12,0.12,0.118,0.138,10,0.1
0.11,0.136,0.13,0.11,10,0.1
0.096,0.086,0.088,0.126,10,0.1
0.102,0.124,0.114,0.12,10,0.1
0.114,0.112,0.114,0.11,10,0.1
0.11,0.106,0.096,0.112,10,0.1
