base,extra,test,majority,num_classes,majority_all
0.45,0.55,0.625,0.29,4,0.25
0.58,0.57,0.525,0.32,4,0.25
0.555,0.525,0.455,0.315,4,0.25
0.455,0.625,0.57,0.275,4,0.25
0.465,0.52,0.5,0.29,4,0.25
0.42,0.535,0.585,0.32,4,0.25
0.465,0.605,0.6,0.27,4,0.25
0.425,0.55,0.59,0.275,4,0.25
0.485,0.54,0.585,0.28,4,0.25
0.425,0.555,0.555,0.29,4,0.25
0.49,0.58,0.605,0.29,4,0.25
0.465,0.62,0.62,0.255,4,0.25
0.44,0.595,0.57,0.295,4,0.25
0.505,0.61,0.605,0.29,4,0.25
0.545,0.65,0.605,0.335,4,0.25
0.365,0.56,0.555,0.28,4,0.25
0.455,0.62,0.605,0.29,4,0.25
0.525,0.6,0.555,0.31,4,0.25
0.46,0.515,0.565,0.3,4,0.25
0.43,0.665,0.64,0.3,4,0.25
0.53,0.56,0.575,0.325,4,0.25
0.435,0.63,0.66,0.275,4,0.25
0.47,0.51,0.5,0.26,4,0.25
0.475,0.49,0.56,0.29,4,0.25
0.46,0.595,0.575,0.29,4,0.25
0.395,0.425,0.415,0.275,4,0.25
0.475,0.58,0.615,0.275,4,0.25
0.385,0.57,0.59,0.285,4,0.25
0.415,0.59,0.605,0.26,4,0.25
0.525,0.55,0.555,0.3,4,0.25
0.36,0.545,0.575,0.275,4,0.25
0.54,0.635,0.61,0.31,4,0.25
0.555,0.55,0.575,0.265,4,0.25
0.39,0.585,0.58,0.295,4,0.25
0.49,0.52,0.55,0.3,4,0.25
0.48,0.58,0.55,0.29,4,0.25
0.47,0.505,0.5,0.29,4,0.25
0.48,0.53,0.6,0.26,4,0.25
0.42,0.575,0.58,0.305,4,0.25
0.545,0.565,0.57,0.285,4,0.25
0.49,0.575,0.57,0.285,4,0.25
0.425,0.59,0.68,0.28,4,0.25
0.435,0.57,0.63,0.275,4,0.25
0.455,0.535,0.51,0.275,4,0.25
0.54,0.535,0.55,0.28,4,0.25
0.55,0.56,0.54,0.275,4,0.25
0.505,0.69,0.69,0.3,4,0.25
0.43,0.53,0.51,0.27,4,0.25
0.47,0.685,0.655,0.3,4,0.25
0.56,0.67,0.62,0.35,4,0.25
