base,extra,test,majority,num_classes,majority_all
0.425,0.77,0.745,0.895,2,0.8946
0.27,0.485,0.41,0.92,2,0.8946
0.315,0.875,0.755,0.9,2,0.8946
0.735,0.79,0.63,0.87,2,0.8946
0.49,0.765,0.77,0.895,2,0.8946
0.48,0.645,0.605,0.86,2,0.8946
0.66,0.685,0.65,0.91,2,0.8946
0.565,0.59,0.6,0.87,2,0.8946
0.525,0.815,0.86,0.895,2,0.8946
0.595,0.83,0.845,0.915,2,0.8946
0.65,0.55,0.61,0.91,2,0.8946
0.525,0.6,0.845,0.91,2,0.8946
0.715,0.625,0.6,0.915,2,0.8946
0.53,0.725,0.735,0.93,2,0.8946
0.525,0.56,0.62,0.89,2,0.8946
0.445,0.77,0.775,0.89,2,0.8946
0.615,0.77,0.695,0.88,2,0.8946
0.745,0.705,0.75,0.89,2,0.8946
0.795,0.55,0.69,0.91,2,0.8946
0.535,0.375,0.38,0.92,2,0.8946
0.7,0.555,0.72,0.895,2,0.8946
0.395,0.51,0.535,0.91,2,0.8946
0.27,0.705,0.405,0.905,2,0.8946
0.46,0.415,0.64,0.87,2,0.8946
0.68,0.685,0.69,0.915,2,0.8946
0.615,0.86,0.875,0.915,2,0.8946
0.645,0.665,0.81,0.91,2,0.8946
0.78,0.76,0.555,0.9,2,0.8946
0.5,0.805,0.81,0.895,2,0.8946
0.755,0.8,0.805,0.915,2,0.8946
0.7,0.325,0.39,0.905,2,0.8946
0.755,0.7,0.655,0.93,2,0.8946
0.365,0.785,0.76,0.93,2,0.8946
0.675,0.82,0.78,0.915,2,0.8946
0.515,0.335,0.305,0.895,2,0.8946
0.645,0.82,0.785,0.895,2,0.8946
0.755,0.73,0.75,0.88,2,0.8946
0.67,0.61,0.68,0.935,2,0.8946
0.765,0.525,0.51,0.875,2,0.8946
0.3,0.72,0.745,0.92,2,0.8946
0.73,0.63,0.8,0.905,2,0.8946
0.695,0.88,0.87,0.905,2,0.8946
0.73,0.78,0.575,0.885,2,0.8946
0.59,0.725,0.67,0.94,2,0.8946
0.63,0.575,0.475,0.905,2,0.8946
0.555,0.77,0.775,0.895,2,0.8946
0.62,0.815,0.74,0.9,2,0.8946
0.82,0.83,0.77,0.92,2,0.8946
0.855,0.715,0.665,0.92,2,0.8946
0.475,0.87,0.87,0.95,2,0.8946
