base,extra,test,majority,num_classes,majority_all
0.81,0.745,0.745,0.69,2,0.6288525638098716
0.77,0.74,0.73,0.655,2,0.6288525638098716
0.77,0.695,0.735,0.645,2,0.6288525638098716
0.81,0.775,0.745,0.595,2,0.6288525638098716
0.77,0.695,0.68,0.64,2,0.6288525638098716
0.78,0.75,0.755,0.61,2,0.6288525638098716
0.71,0.755,0.76,0.65,2,0.6288525638098716
0.81,0.76,0.73,0.64,2,0.6288525638098716
0.78,0.74,0.715,0.6,2,0.6288525638098716
0.83,0.77,0.735,0.63,2,0.6288525638098716
0.835,0.725,0.745,0.635,2,0.6288525638098716
0.8,0.805,0.715,0.67,2,0.6288525638098716
0.78,0.755,0.71,0.59,2,0.6288525638098716
0.72,0.695,0.675,0.6,2,0.6288525638098716
0.835,0.79,0.75,0.685,2,0.6288525638098716
0.785,0.71,0.73,0.615,2,0.6288525638098716
0.78,0.7,0.705,0.65,2,0.6288525638098716
0.825,0.755,0.785,0.595,2,0.6288525638098716
0.785,0.715,0.77,0.655,2,0.6288525638098716
0.815,0.785,0.79,0.64,2,0.6288525638098716
0.815,0.69,0.72,0.7,2,0.6288525638098716
0.83,0.77,0.715,0.655,2,0.6288525638098716
0.775,0.685,0.715,0.66,2,0.6288525638098716
0.74,0.655,0.685,0.635,2,0.6288525638098716
0.815,0.755,0.785,0.645,2,0.6288525638098716
0.75,0.71,0.69,0.655,2,0.6288525638098716
0.745,0.7,0.67,0.545,2,0.6288525638098716
0.815,0.705,0.67,0.64,2,0.6288525638098716
0.755,0.685,0.645,0.645,2,0.6288525638098716
0.775,0.64,0.62,0.665,2,0.6288525638098716
0.75,0.705,0.72,0.675,2,0.6288525638098716
0.795,0.68,0.675,0.675,2,0.6288525638098716
0.715,0.725,0.765,0.68,2,0.6288525638098716
0.79,0.63,0.66,0.635,2,0.6288525638098716
0.855,0.755,0.785,0.67,2,0.6288525638098716
0.73,0.745,0.745,0.635,2,0.6288525638098716
0.815,0.775,0.76,0.64,2,0.6288525638098716
0.825,0.715,0.75,0.625,2,0.6288525638098716
0.78,0.63,0.595,0.66,2,0.6288525638098716
0.77,0.725,0.7,0.69,2,0.6288525638098716
0.815,0.745,0.77,0.585,2,0.6288525638098716
0.835,0.795,0.785,0.635,2,0.6288525638098716
0.76,0.715,0.775,0.66,2,0.6288525638098716
0.81,0.71,0.73,0.71,2,0.6288525638098716
0.81,0.755,0.74,0.595,2,0.6288525638098716
0.705,0.745,0.755,0.63,2,0.6288525638098716
0.815,0.755,0.715,0.61,2,0.6288525638098716
0.78,0.705,0.665,0.595,2,0.6288525638098716
0.815,0.785,0.79,0.65,2,0.6288525638098716
0.825,0.72,0.685,0.64,2,0.6288525638098716
