base,extra,test,majority,num_classes,majority_all
0.305,0.19,0.205,0.41,4,0.4260586319218241
0.345,0.215,0.205,0.455,4,0.4260586319218241
0.195,0.145,0.16,0.465,4,0.4260586319218241
0.29,0.2,0.175,0.405,4,0.4260586319218241
0.29,0.195,0.22,0.395,4,0.4260586319218241
0.315,0.195,0.19,0.43,4,0.4260586319218241
0.305,0.165,0.16,0.495,4,0.4260586319218241
0.205,0.16,0.18,0.435,4,0.4260586319218241
0.34,0.205,0.225,0.41,4,0.4260586319218241
0.32,0.235,0.245,0.45,4,0.4260586319218241
0.3,0.215,0.22,0.445,4,0.4260586319218241
0.26,0.155,0.17,0.435,4,0.4260586319218241
0.32,0.165,0.155,0.46,4,0.4260586319218241
0.365,0.18,0.195,0.47,4,0.4260586319218241
0.255,0.165,0.16,0.365,4,0.4260586319218241
0.29,0.22,0.24,0.4,4,0.4260586319218241
0.355,0.2,0.205,0.45,4,0.4260586319218241
0.31,0.14,0.18,0.43,4,0.4260586319218241
0.245,0.175,0.22,0.415,4,0.4260586319218241
0.365,0.24,0.225,0.465,4,0.4260586319218241
0.25,0.175,0.16,0.455,4,0.4260586319218241
0.3,0.18,0.185,0.455,4,0.4260586319218241
0.34,0.175,0.165,0.49,4,0.4260586319218241
0.31,0.17,0.18,0.47,4,0.4260586319218241
0.365,0.135,0.135,0.45,4,0.4260586319218241
0.375,0.21,0.16,0.46,4,0.4260586319218241
0.365,0.16,0.14,0.435,4,0.4260586319218241
0.36,0.205,0.14,0.47,4,0.4260586319218241
0.27,0.215,0.19,0.43,4,0.4260586319218241
0.32,0.155,0.19,0.44,4,0.4260586319218241
0.385,0.18,0.19,0.44,4,0.4260586319218241
0.35,0.215,0.17,0.52,4,0.4260586319218241
0.3,0.225,0.235,0.435,4,0.4260586319218241
0.28,0.23,0.205,0.43,4,0.4260586319218241
0.285,0.16,0.205,0.395,4,0.4260586319218241
0.32,0.285,0.275,0.475,4,0.4260586319218241
0.295,0.2,0.185,0.5,4,0.4260586319218241
0.405,0.225,0.2,0.47,4,0.4260586319218241
0.28,0.245,0.265,0.415,4,0.4260586319218241
0.28,0.25,0.21,0.47,4,0.4260586319218241
0.31,0.165,0.17,0.505,4,0.4260586319218241
0.26,0.265,0.23,0.385,4,0.4260586319218241
0.33,0.25,0.16,0.48,4,0.4260586319218241
0.345,0.23,0.19,0.425,4,0.4260586319218241
0.36,0.265,0.255,0.41,4,0.4260586319218241
0.295,0.17,0.125,0.42,4,0.4260586319218241
0.31,0.22,0.185,0.415,4,0.4260586319218241
0.29,0.26,0.245,0.385,4,0.4260586319218241
0.32,0.215,0.225,0.42,4,0.4260586319218241
0.26,0.215,0.22,0.4,4,0.4260586319218241
