base,extra,test,majority,num_classes,majority_all
0.24,0.29,0.28,0.425,4,0.4956233421750663
0.28,0.32,0.355,0.46,4,0.4956233421750663
0.31,0.31,0.34,0.44,4,0.4956233421750663
0.255,0.235,0.26,0.56,4,0.4956233421750663
0.285,0.275,0.27,0.515,4,0.4956233421750663
0.2,0.34,0.28,0.5,4,0.4956233421750663
0.155,0.255,0.27,0.515,4,0.4956233421750663
0.21,0.24,0.245,0.54,4,0.4956233421750663
0.19,0.285,0.305,0.46,4,0.4956233421750663
0.255,0.365,0.335,0.45,4,0.4956233421750663
0.245,0.325,0.265,0.46,4,0.4956233421750663
0.215,0.245,0.285,0.475,4,0.4956233421750663
0.19,0.29,0.32,0.505,4,0.4956233421750663
0.225,0.26,0.325,0.485,4,0.4956233421750663
0.27,0.29,0.26,0.505,4,0.4956233421750663
0.29,0.195,0.23,0.555,4,0.4956233421750663
0.18,0.335,0.245,0.525,4,0.4956233421750663
0.235,0.305,0.28,0.46,4,0.4956233421750663
0.225,0.24,0.295,0.425,4,0.4956233421750663
0.25,0.28,0.265,0.455,4,0.4956233421750663
0.235,0.325,0.32,0.555,4,0.4956233421750663
0.22,0.24,0.23,0.52,4,0.4956233421750663
0.265,0.27,0.265,0.565,4,0.4956233421750663
0.22,0.32,0.34,0.44,4,0.4956233421750663
0.23,0.255,0.22,0.53,4,0.4956233421750663
0.205,0.275,0.31,0.475,4,0.4956233421750663
0.245,0.335,0.27,0.485,4,0.4956233421750663
0.245,0.27,0.25,0.545,4,0.4956233421750663
0.205,0.24,0.23,0.48,4,0.4956233421750663
0.21,0.235,0.255,0.48,4,0.4956233421750663
0.255,0.235,0.3,0.525,4,0.4956233421750663
0.22,0.295,0.3,0.48,4,0.4956233421750663
0.205,0.255,0.295,0.49,4,0.4956233421750663
0.185,0.24,0.265,0.485,4,0.4956233421750663
0.25,0.34,0.345,0.515,4,0.4956233421750663
0.25,0.29,0.29,0.46,4,0.4956233421750663
0.28,0.215,0.28,0.545,4,0.4956233421750663
0.25,0.295,0.22,0.52,4,0.4956233421750663
0.22,0.335,0.32,0.515,4,0.4956233421750663
0.21,0.3,0.34,0.465,4,0.4956233421750663
0.24,0.36,0.365,0.45,4,0.4956233421750663
0.25,0.345,0.375,0.455,4,0.4956233421750663
0.21,0.28,0.28,0.455,4,0.4956233421750663
0.205,0.22,0.255,0.515,4,0.4956233421750663
0.21,0.25,0.215,0.485,4,0.4956233421750663
0.195,0.275,0.29,0.51,4,0.4956233421750663
0.32,0.34,0.325,0.475,4,0.4956233421750663
0.22,0.285,0.28,0.57,4,0.4956233421750663
0.21,0.36,0.385,0.56,4,0.4956233421750663
0.215,0.2,0.24,0.55,4,0.4956233421750663
