base,extra,test,majority,num_classes,majority_all
0.225,0.165,0.175,0.29,6,0.335125
0.215,0.15,0.15,0.295,6,0.335125
0.225,0.22,0.21,0.335,6,0.335125
0.215,0.195,0.185,0.31,6,0.335125
0.255,0.15,0.16,0.345,6,0.335125
0.225,0.175,0.18,0.315,6,0.335125
0.265,0.175,0.165,0.34,6,0.335125
0.22,0.2,0.21,0.3,6,0.335125
0.265,0.165,0.17,0.315,6,0.335125
0.245,0.16,0.155,0.325,6,0.335125
0.24,0.165,0.17,0.31,6,0.335125
0.235,0.155,0.175,0.365,6,0.335125
0.21,0.18,0.21,0.33,6,0.335125
0.265,0.165,0.17,0.32,6,0.335125
0.275,0.155,0.155,0.31,6,0.335125
0.32,0.145,0.155,0.34,6,0.335125
0.255,0.175,0.17,0.355,6,0.335125
0.23,0.21,0.225,0.405,6,0.335125
0.22,0.175,0.16,0.34,6,0.335125
0.275,0.195,0.215,0.39,6,0.335125
0.19,0.155,0.155,0.34,6,0.335125
0.265,0.205,0.215,0.375,6,0.335125
0.26,0.18,0.18,0.38,6,0.335125
0.24,0.19,0.22,0.36,6,0.335125
0.215,0.17,0.18,0.36,6,0.335125
0.275,0.185,0.2,0.355,6,0.335125
0.2,0.21,0.2,0.34,6,0.335125
0.255,0.19,0.195,0.37,6,0.335125
0.22,0.155,0.145,0.37,6,0.335125
0.22,0.205,0.205,0.295,6,0.335125
0.235,0.225,0.21,0.33,6,0.335125
0.205,0.165,0.165,0.36,6,0.335125
0.2,0.19,0.165,0.33,6,0.335125
0.25,0.175,0.195,0.365,6,0.335125
0.235,0.205,0.185,0.38,6,0.335125
0.195,0.165,0.165,0.365,6,0.335125
0.25,0.16,0.14,0.32,6,0.335125
0.2,0.155,0.16,0.32,6,0.335125
0.215,0.195,0.17,0.34,6,0.335125
0.225,0.185,0.175,0.335,6,0.335125
0.25,0.205,0.225,0.34,6,0.335125
0.23,0.195,0.225,0.315,6,0.335125
0.25,0.235,0.2,0.345,6,0.335125
0.265,0.155,0.2,0.4,6,0.335125
0.305,0.14,0.155,0.37,6,0.335125
0.235,0.195,0.19,0.34,6,0.335125
0.255,0.2,0.22,0.355,6,0.335125
0.255,0.165,0.205,0.345,6,0.335125
0.265,0.24,0.235,0.36,6,0.335125
0.235,0.165,0.205,0.315,6,0.335125
