base,extra,test,majority,num_classes,majority_all
0.04,0.05,0.09,0.16,18,0.1466041340976203
0.05,0.145,0.08,0.16,18,0.1466041340976203
0.055,0.1,0.08,0.145,18,0.1466041340976203
0.035,0.13,0.115,0.12,18,0.1466041340976203
0.025,0.065,0.11,0.165,18,0.1466041340976203
0.03,0.075,0.085,0.155,18,0.1466041340976203
0.04,0.095,0.115,0.135,18,0.1466041340976203
0.06,0.12,0.155,0.18,18,0.1466041340976203
0.04,0.065,0.095,0.13,18,0.1466041340976203
0.045,0.085,0.11,0.14,18,0.1466041340976203
0.03,0.105,0.06,0.165,18,0.1466041340976203
0.055,0.06,0.06,0.165,18,0.1466041340976203
0.05,0.09,0.14,0.17,18,0.1466041340976203
0.035,0.075,0.075,0.135,18,0.1466041340976203
0.015,0.045,0.06,0.16,18,0.1466041340976203
0.055,0.065,0.08,0.145,18,0.1466041340976203
0.045,0.1,0.1,0.145,18,0.1466041340976203
0.05,0.08,0.08,0.135,18,0.1466041340976203
0.04,0.085,0.085,0.175,18,0.1466041340976203
0.045,0.06,0.04,0.15,18,0.1466041340976203
0.065,0.085,0.065,0.175,18,0.1466041340976203
0.06,0.11,0.105,0.17,18,0.1466041340976203
0.075,0.09,0.095,0.175,18,0.1466041340976203
0.03,0.12,0.105,0.21,18,0.1466041340976203
0.075,0.07,0.05,0.185,18,0.1466041340976203
0.04,0.095,0.1,0.15,18,0.1466041340976203
0.05,0.08,0.07,0.18,18,0.1466041340976203
0.065,0.075,0.065,0.14,18,0.1466041340976203
0.03,0.065,0.04,0.15,18,0.1466041340976203
0.06,0.115,0.085,0.19,18,0.1466041340976203
0.06,0.065,0.075,0.175,18,0.1466041340976203
0.07,0.08,0.085,0.135,18,0.1466041340976203
0.08,0.08,0.075,0.175,18,0.1466041340976203
0.06,0.06,0.04,0.13,18,0.1466041340976203
0.045,0.085,0.085,0.16,18,0.1466041340976203
0.055,0.105,0.075,0.155,18,0.1466041340976203
0.05,0.055,0.08,0.17,18,0.1466041340976203
0.025,0.03,0.04,0.19,18,0.1466041340976203
0.05,0.11,0.08,0.205,18,0.1466041340976203
0.055,0.065,0.07,0.16,18,0.1466041340976203
0.065,0.1,0.16,0.155,18,0.1466041340976203
0.05,0.065,0.045,0.185,18,0.1466041340976203
0.05,0.075,0.06,0.155,18,0.1466041340976203
0.075,0.065,0.07,0.155,18,0.1466041340976203
0.035,0.1,0.085,0.14,18,0.1466041340976203
0.055,0.07,0.08,0.16,18,0.1466041340976203
0.065,0.115,0.11,0.145,18,0.1466041340976203
0.03,0.07,0.085,0.135,18,0.1466041340976203
0.02,0.065,0.06,0.165,18,0.1466041340976203
0.025,0.1,0.115,0.13,18,0.1466041340976203
