base,extra,test,majority,num_classes,majority_all
0.22,0.23,0.215,0.215,5,0.2
0.185,0.185,0.2,0.225,5,0.2
0.19,0.18,0.23,0.23,5,0.2
0.215,0.225,0.26,0.23,5,0.2
0.225,0.215,0.185,0.23,5,0.2
0.145,0.17,0.145,0.255,5,0.2
0.16,0.215,0.185,0.245,5,0.2
0.18,0.185,0.185,0.215,5,0.2
0.225,0.23,0.21,0.22,5,0.2
0.165,0.195,0.14,0.25,5,0.2
0.235,0.23,0.265,0.26,5,0.2
0.155,0.13,0.155,0.23,5,0.2
0.165,0.16,0.145,0.235,5,0.2
0.23,0.235,0.275,0.24,5,0.2
0.165,0.2,0.185,0.225,5,0.2
0.215,0.19,0.205,0.23,5,0.2
0.255,0.245,0.255,0.25,5,0.2
0.2,0.14,0.19,0.235,5,0.2
0.245,0.23,0.245,0.26,5,0.2
0.22,0.215,0.245,0.22,5,0.2
0.21,0.235,0.225,0.225,5,0.2
0.235,0.23,0.215,0.22,5,0.2
0.19,0.17,0.18,0.26,5,0.2
0.21,0.185,0.175,0.29,5,0.2
0.205,0.215,0.18,0.23,5,0.2
0.235,0.195,0.21,0.235,5,0.2
0.23,0.21,0.26,0.235,5,0.2
0.17,0.175,0.195,0.235,5,0.2
0.23,0.29,0.17,0.23,5,0.2
0.275,0.21,0.22,0.245,5,0.2
0.25,0.27,0.255,0.255,5,0.2
0.225,0.26,0.255,0.24,5,0.2
0.145,0.18,0.175,0.22,5,0.2
0.15,0.18,0.19,0.265,5,0.2
0.265,0.185,0.2,0.25,5,0.2
0.205,0.245,0.235,0.24,5,0.2
0.23,0.225,0.225,0.235,5,0.2
0.185,0.26,0.28,0.235,5,0.2
0.235,0.215,0.175,0.22,5,0.2
0.27,0.255,0.26,0.255,5,0.2
0.2,0.185,0.2,0.26,5,0.2
0.175,0.235,0.145,0.25,5,0.2
0.175,0.16,0.175,0.255,5,0.2
0.23,0.205,0.195,0.22,5,0.2
0.18,0.185,0.21,0.23,5,0.2
0.21,0.23,0.225,0.23,5,0.2
0.235,0.22,0.225,0.23,5,0.2
0.24,0.235,0.24,0.235,5,0.2
0.19,0.18,0.145,0.225,5,0.2
0.21,0.225,0.225,0.225,5,0.2
