base,extra,test,majority,num_classes,majority_all
0.158,0.13,0.122,0.584,5,0.6053286584624998
0.114,0.15,0.136,0.61,5,0.6053286584624998
0.218,0.15,0.142,0.536,5,0.6053286584624998
0.15,0.088,0.096,0.594,5,0.6053286584624998
0.142,0.14,0.148,0.638,5,0.6053286584624998
0.192,0.11,0.114,0.58,5,0.6053286584624998
0.118,0.128,0.13,0.582,5,0.6053286584624998
0.13,0.138,0.152,0.606,5,0.6053286584624998
0.15,0.11,0.118,0.612,5,0.6053286584624998
0.148,0.096,0.108,0.616,5,0.6053286584624998
0.102,0.096,0.114,0.588,5,0.6053286584624998
0.138,0.144,0.134,0.624,5,0.6053286584624998
0.116,0.16,0.162,0.6,5,0.6053286584624998
0.14,0.096,0.144,0.626,5,0.6053286584624998
0.17,0.094,0.092,0.624,5,0.6053286584624998
0.19,0.114,0.124,0.606,5,0.6053286584624998
0.172,0.094,0.1,0.604,5,0.6053286584624998
0.158,0.166,0.182,0.59,5,0.6053286584624998
0.144,0.118,0.1,0.59,5,0.6053286584624998
0.14,0.166,0.156,0.608,5,0.6053286584624998
