base,extra,test,majority,num_classes,majority_all
0.14,0.126,0.166,0.252,6,0.24795121021536115
0.192,0.156,0.178,0.248,6,0.24795121021536115
0.19,0.166,0.172,0.24,6,0.24795121021536115
0.16,0.154,0.14,0.226,6,0.24795121021536115
0.202,0.148,0.17,0.256,6,0.24795121021536115
0.124,0.132,0.116,0.26,6,0.24795121021536115
0.184,0.148,0.14,0.26,6,0.24795121021536115
0.18,0.152,0.174,0.242,6,0.24795121021536115
0.136,0.16,0.24,0.266,6,0.24795121021536115
0.162,0.196,0.194,0.242,6,0.24795121021536115
0.12,0.122,0.11,0.24,6,0.24795121021536115
0.218,0.166,0.164,0.252,6,0.24795121021536115
0.134,0.174,0.17,0.258,6,0.24795121021536115
0.202,0.164,0.17,0.266,6,0.24795121021536115
0.124,0.142,0.148,0.246,6,0.24795121021536115
0.218,0.198,0.178,0.262,6,0.24795121021536115
0.174,0.168,0.17,0.236,6,0.24795121021536115
0.18,0.148,0.148,0.252,6,0.24795121021536115
0.196,0.128,0.146,0.226,6,0.24795121021536115
0.206,0.158,0.162,0.236,6,0.24795121021536115
