base,extra,test,majority,num_classes,majority_all
0.906,0.802,0.826,0.452,3,0.4950914982844072
0.864,0.814,0.8,0.502,3,0.4950914982844072
0.9,0.824,0.83,0.494,3,0.4950914982844072
0.862,0.774,0.786,0.486,3,0.4950914982844072
0.88,0.808,0.798,0.506,3,0.4950914982844072
0.89,0.82,0.798,0.462,3,0.4950914982844072
0.922,0.824,0.846,0.542,3,0.4950914982844072
0.88,0.834,0.832,0.482,3,0.4950914982844072
0.87,0.794,0.814,0.486,3,0.4950914982844072
0.902,0.848,0.834,0.46,3,0.4950914982844072
0.924,0.83,0.826,0.46,3,0.4950914982844072
0.896,0.802,0.826,0.502,3,0.4950914982844072
0.93,0.836,0.844,0.498,3,0.4950914982844072
0.868,0.834,0.844,0.46,3,0.4950914982844072
0.87,0.798,0.812,0.49,3,0.4950914982844072
0.88,0.828,0.824,0.458,3,0.4950914982844072
0.91,0.818,0.83,0.488,3,0.4950914982844072
0.856,0.788,0.78,0.498,3,0.4950914982844072
0.892,0.838,0.836,0.488,3,0.4950914982844072
0.93,0.818,0.812,0.484,3,0.4950914982844072
