base,extra,test,majority,num_classes,majority_all
0.686,0.656,0.65,0.53,2,0.5096165973010468
0.646,0.668,0.678,0.524,2,0.5096165973010468
0.702,0.67,0.666,0.504,2,0.5096165973010468
0.676,0.698,0.672,0.52,2,0.5096165973010468
0.654,0.63,0.618,0.502,2,0.5096165973010468
0.602,0.712,0.702,0.514,2,0.5096165973010468
0.694,0.73,0.688,0.502,2,0.5096165973010468
0.67,0.762,0.754,0.512,2,0.5096165973010468
0.692,0.696,0.672,0.54,2,0.5096165973010468
0.672,0.712,0.712,0.512,2,0.5096165973010468
0.618,0.718,0.682,0.53,2,0.5096165973010468
0.632,0.718,0.688,0.524,2,0.5096165973010468
0.638,0.648,0.674,0.504,2,0.5096165973010468
0.666,0.7,0.692,0.55,2,0.5096165973010468
0.6,0.708,0.678,0.518,2,0.5096165973010468
0.666,0.802,0.792,0.524,2,0.5096165973010468
0.654,0.646,0.702,0.512,2,0.5096165973010468
0.656,0.738,0.712,0.532,2,0.5096165973010468
0.628,0.674,0.68,0.502,2,0.5096165973010468
0.68,0.614,0.672,0.522,2,0.5096165973010468
