base,extra,test,majority,num_classes,majority_all
0.77,0.584,0.612,0.524,2,0.5
0.688,0.578,0.624,0.502,2,0.5
0.692,0.556,0.55,0.526,2,0.5
0.7,0.602,0.584,0.526,2,0.5
0.716,0.622,0.638,0.512,2,0.5
0.776,0.62,0.59,0.522,2,0.5
0.648,0.596,0.612,0.52,2,0.5
0.736,0.65,0.632,0.508,2,0.5
0.69,0.636,0.642,0.528,2,0.5
0.766,0.658,0.648,0.51,2,0.5
0.702,0.614,0.616,0.502,2,0.5
0.742,0.618,0.644,0.546,2,0.5
0.744,0.68,0.648,0.53,2,0.5
0.74,0.616,0.61,0.524,2,0.5
0.748,0.578,0.59,0.516,2,0.5
0.744,0.646,0.63,0.516,2,0.5
0.684,0.64,0.642,0.53,2,0.5
0.748,0.618,0.616,0.528,2,0.5
0.732,0.552,0.566,0.508,2,0.5
0.67,0.584,0.588,0.51,2,0.5
