base,extra,test,majority,num_classes,majority_all
0.678,0.59,0.616,0.634,2,0.6222674986204847
0.638,0.618,0.626,0.63,2,0.6222674986204847
0.708,0.614,0.618,0.628,2,0.6222674986204847
0.714,0.628,0.616,0.608,2,0.6222674986204847
0.706,0.646,0.598,0.656,2,0.6222674986204847
0.736,0.688,0.678,0.612,2,0.6222674986204847
0.65,0.614,0.576,0.614,2,0.6222674986204847
0.652,0.656,0.646,0.63,2,0.6222674986204847
0.734,0.654,0.638,0.632,2,0.6222674986204847
0.674,0.656,0.632,0.604,2,0.6222674986204847
0.696,0.654,0.664,0.582,2,0.6222674986204847
0.558,0.658,0.668,0.626,2,0.6222674986204847
0.7,0.664,0.672,0.608,2,0.6222674986204847
0.726,0.702,0.716,0.638,2,0.6222674986204847
0.688,0.632,0.62,0.596,2,0.6222674986204847
0.662,0.63,0.618,0.63,2,0.6222674986204847
0.704,0.664,0.684,0.622,2,0.6222674986204847
0.644,0.664,0.688,0.606,2,0.6222674986204847
0.708,0.622,0.64,0.638,2,0.6222674986204847
0.71,0.646,0.632,0.646,2,0.6222674986204847
