base,extra,test,majority,num_classes,majority_all
0.51,0.556,0.532,0.512,2,0.5
0.506,0.506,0.498,0.51,2,0.5
0.538,0.554,0.576,0.504,2,0.5
0.49,0.534,0.544,0.512,2,0.5
0.464,0.492,0.476,0.516,2,0.5
0.516,0.524,0.524,0.514,2,0.5
0.57,0.512,0.574,0.516,2,0.5
0.538,0.55,0.58,0.512,2,0.5
0.5,0.558,0.51,0.502,2,0.5
0.5,0.542,0.56,0.512,2,0.5
0.562,0.53,0.554,0.516,2,0.5
0.554,0.522,0.518,0.524,2,0.5
0.53,0.498,0.544,0.502,2,0.5
0.56,0.532,0.626,0.546,2,0.5
0.506,0.452,0.474,0.54,2,0.5
0.546,0.522,0.54,0.506,2,0.5
0.534,0.578,0.564,0.522,2,0.5
0.55,0.538,0.536,0.512,2,0.5
0.49,0.54,0.592,0.508,2,0.5
0.54,0.584,0.578,0.546,2,0.5
