base,extra,test,majority,num_classes,majority_all
0.134,0.098,0.106,0.16,11,0.13959277462181655
0.11,0.102,0.12,0.162,11,0.13959277462181655
0.142,0.124,0.132,0.144,11,0.13959277462181655
0.168,0.108,0.098,0.128,11,0.13959277462181655
0.142,0.154,0.144,0.17,11,0.13959277462181655
0.16,0.14,0.136,0.164,11,0.13959277462181655
0.13,0.098,0.1,0.136,11,0.13959277462181655
0.096,0.134,0.138,0.148,11,0.13959277462181655
0.112,0.132,0.154,0.144,11,0.13959277462181655
0.122,0.144,0.136,0.152,11,0.13959277462181655
0.15,0.154,0.134,0.14,11,0.13959277462181655
0.16,0.16,0.154,0.136,11,0.13959277462181655
0.176,0.138,0.146,0.17,11,0.13959277462181655
0.146,0.162,0.142,0.166,11,0.13959277462181655
0.152,0.146,0.142,0.152,11,0.13959277462181655
0.182,0.138,0.176,0.138,11,0.13959277462181655
0.126,0.152,0.138,0.15,11,0.13959277462181655
0.15,0.092,0.112,0.146,11,0.13959277462181655
0.134,0.112,0.126,0.138,11,0.13959277462181655
0.142,0.172,0.16,0.176,11,0.13959277462181655
