base,extra,test,majority,num_classes,majority_all
0.106,0.15,0.142,0.234,9,0.20989559691330004
0.126,0.178,0.182,0.214,9,0.20989559691330004
0.118,0.174,0.176,0.216,9,0.20989559691330004
0.082,0.18,0.182,0.226,9,0.20989559691330004
0.102,0.134,0.13,0.236,9,0.20989559691330004
0.074,0.21,0.21,0.234,9,0.20989559691330004
0.096,0.16,0.168,0.216,9,0.20989559691330004
0.072,0.146,0.186,0.212,9,0.20989559691330004
0.108,0.184,0.182,0.212,9,0.20989559691330004
0.082,0.19,0.188,0.21,9,0.20989559691330004
0.088,0.156,0.174,0.198,9,0.20989559691330004
0.142,0.17,0.172,0.234,9,0.20989559691330004
0.088,0.188,0.19,0.228,9,0.20989559691330004
0.116,0.186,0.182,0.208,9,0.20989559691330004
0.092,0.138,0.136,0.222,9,0.20989559691330004
0.152,0.172,0.16,0.222,9,0.20989559691330004
0.062,0.19,0.214,0.228,9,0.20989559691330004
0.132,0.152,0.148,0.226,9,0.20989559691330004
0.12,0.164,0.176,0.224,9,0.20989559691330004
0.078,0.202,0.202,0.222,9,0.20989559691330004
