base,extra,test,majority,num_classes,majority_all
0.558,0.382,0.406,0.462,4,0.4574165423884364
0.52,0.398,0.36,0.482,4,0.4574165423884364
0.508,0.354,0.352,0.482,4,0.4574165423884364
0.516,0.346,0.292,0.488,4,0.4574165423884364
0.484,0.436,0.42,0.406,4,0.4574165423884364
0.54,0.4,0.424,0.432,4,0.4574165423884364
0.49,0.458,0.474,0.488,4,0.4574165423884364
0.42,0.436,0.408,0.438,4,0.4574165423884364
0.398,0.392,0.422,0.492,4,0.4574165423884364
0.534,0.366,0.436,0.444,4,0.4574165423884364
0.384,0.424,0.456,0.45,4,0.4574165423884364
0.52,0.458,0.478,0.452,4,0.4574165423884364
0.448,0.458,0.496,0.468,4,0.4574165423884364
0.48,0.452,0.446,0.442,4,0.4574165423884364
0.474,0.468,0.448,0.44,4,0.4574165423884364
0.464,0.388,0.374,0.446,4,0.4574165423884364
0.45,0.422,0.4,0.46,4,0.4574165423884364
0.546,0.408,0.402,0.424,4,0.4574165423884364
0.578,0.376,0.478,0.474,4,0.4574165423884364
0.498,0.324,0.376,0.43,4,0.4574165423884364
