base,extra,test,majority,num_classes,majority_all
0.558,0.5,0.624,0.926,2,0.9298542018647143
0.758,0.552,0.59,0.936,2,0.9298542018647143
0.548,0.528,0.618,0.938,2,0.9298542018647143
0.706,0.574,0.522,0.936,2,0.9298542018647143
0.58,0.564,0.588,0.932,2,0.9298542018647143
0.686,0.586,0.542,0.938,2,0.9298542018647143
0.588,0.53,0.618,0.926,2,0.9298542018647143
0.568,0.688,0.71,0.93,2,0.9298542018647143
0.698,0.508,0.606,0.91,2,0.9298542018647143
0.654,0.612,0.144,0.928,2,0.9298542018647143
0.582,0.558,0.612,0.946,2,0.9298542018647143
0.638,0.636,0.66,0.946,2,0.9298542018647143
0.674,0.556,0.538,0.936,2,0.9298542018647143
0.578,0.542,0.536,0.916,2,0.9298542018647143
0.716,0.612,0.512,0.926,2,0.9298542018647143
0.562,0.64,0.39,0.936,2,0.9298542018647143
0.712,0.606,0.56,0.936,2,0.9298542018647143
0.49,0.634,0.638,0.926,2,0.9298542018647143
0.634,0.582,0.524,0.926,2,0.9298542018647143
0.694,0.414,0.488,0.936,2,0.9298542018647143
