base,extra,test,majority,num_classes,majority_all
0.475,0.455,0.465,0.54,2,0.5186701999518188
0.545,0.54,0.535,0.53,2,0.5186701999518188
0.465,0.46,0.465,0.545,2,0.5186701999518188
0.5,0.495,0.5,0.505,2,0.5186701999518188
0.51,0.51,0.51,0.51,2,0.5186701999518188
0.47,0.47,0.47,0.52,2,0.5186701999518188
0.485,0.495,0.485,0.51,2,0.5186701999518188
0.5,0.5,0.51,0.515,2,0.5186701999518188
0.45,0.45,0.45,0.55,2,0.5186701999518188
0.525,0.535,0.525,0.515,2,0.5186701999518188
0.495,0.49,0.495,0.51,2,0.5186701999518188
0.495,0.48,0.485,0.51,2,0.5186701999518188
0.48,0.475,0.48,0.52,2,0.5186701999518188
0.52,0.515,0.51,0.505,2,0.5186701999518188
0.46,0.465,0.45,0.55,2,0.5186701999518188
0.48,0.47,0.495,0.54,2,0.5186701999518188
0.455,0.45,0.455,0.55,2,0.5186701999518188
0.45,0.45,0.44,0.55,2,0.5186701999518188
0.43,0.425,0.43,0.575,2,0.5186701999518188
0.475,0.48,0.49,0.53,2,0.5186701999518188
0.48,0.495,0.49,0.5,2,0.5186701999518188
0.535,0.525,0.535,0.54,2,0.5186701999518188
0.505,0.5,0.51,0.505,2,0.5186701999518188
0.445,0.45,0.45,0.54,2,0.5186701999518188
0.49,0.48,0.485,0.51,2,0.5186701999518188
0.475,0.47,0.475,0.52,2,0.5186701999518188
0.465,0.465,0.475,0.53,2,0.5186701999518188
0.535,0.55,0.55,0.555,2,0.5186701999518188
0.515,0.51,0.51,0.51,2,0.5186701999518188
0.4,0.42,0.415,0.595,2,0.5186701999518188
0.5,0.495,0.495,0.51,2,0.5186701999518188
0.47,0.47,0.47,0.515,2,0.5186701999518188
0.49,0.5,0.485,0.515,2,0.5186701999518188
0.37,0.375,0.37,0.625,2,0.5186701999518188
0.52,0.5,0.505,0.5,2,0.5186701999518188
0.44,0.43,0.435,0.56,2,0.5186701999518188
0.515,0.515,0.52,0.515,2,0.5186701999518188
0.525,0.525,0.535,0.535,2,0.5186701999518188
0.495,0.505,0.51,0.505,2,0.5186701999518188
0.45,0.445,0.46,0.56,2,0.5186701999518188
0.455,0.485,0.45,0.56,2,0.5186701999518188
0.54,0.545,0.545,0.54,2,0.5186701999518188
0.475,0.48,0.475,0.52,2,0.5186701999518188
0.505,0.5,0.495,0.505,2,0.5186701999518188
0.5,0.49,0.485,0.505,2,0.5186701999518188
0.545,0.55,0.565,0.545,2,0.5186701999518188
0.5,0.505,0.51,0.505,2,0.5186701999518188
0.445,0.445,0.445,0.56,2,0.5186701999518188
0.53,0.545,0.545,0.54,2,0.5186701999518188
0.52,0.515,0.51,0.51,2,0.5186701999518188
