base,extra,test,majority,num_classes,majority_all
0.525,0.54,0.53,0.515,2,0.5228141513929105
0.57,0.58,0.545,0.56,2,0.5228141513929105
0.585,0.57,0.555,0.525,2,0.5228141513929105
0.505,0.5,0.51,0.515,2,0.5228141513929105
0.545,0.555,0.56,0.575,2,0.5228141513929105
0.525,0.565,0.555,0.51,2,0.5228141513929105
0.495,0.5,0.52,0.505,2,0.5228141513929105
0.515,0.525,0.54,0.505,2,0.5228141513929105
0.5,0.505,0.495,0.54,2,0.5228141513929105
0.56,0.49,0.54,0.505,2,0.5228141513929105
0.485,0.51,0.515,0.555,2,0.5228141513929105
0.575,0.555,0.535,0.515,2,0.5228141513929105
0.515,0.52,0.52,0.525,2,0.5228141513929105
0.455,0.515,0.495,0.535,2,0.5228141513929105
0.53,0.54,0.555,0.565,2,0.5228141513929105
0.475,0.495,0.51,0.505,2,0.5228141513929105
0.615,0.565,0.585,0.51,2,0.5228141513929105
0.475,0.445,0.44,0.56,2,0.5228141513929105
0.52,0.515,0.51,0.51,2,0.5228141513929105
0.535,0.505,0.525,0.53,2,0.5228141513929105
0.525,0.515,0.495,0.5,2,0.5228141513929105
0.435,0.43,0.45,0.565,2,0.5228141513929105
0.545,0.555,0.585,0.585,2,0.5228141513929105
0.62,0.605,0.56,0.57,2,0.5228141513929105
0.505,0.505,0.48,0.515,2,0.5228141513929105
0.52,0.585,0.55,0.55,2,0.5228141513929105
0.56,0.505,0.515,0.52,2,0.5228141513929105
0.53,0.535,0.535,0.5,2,0.5228141513929105
0.52,0.535,0.52,0.56,2,0.5228141513929105
0.505,0.58,0.53,0.585,2,0.5228141513929105
0.58,0.595,0.585,0.545,2,0.5228141513929105
0.55,0.49,0.515,0.535,2,0.5228141513929105
0.47,0.495,0.485,0.56,2,0.5228141513929105
0.485,0.495,0.515,0.535,2,0.5228141513929105
0.56,0.555,0.6,0.6,2,0.5228141513929105
0.55,0.57,0.485,0.505,2,0.5228141513929105
0.515,0.53,0.54,0.515,2,0.5228141513929105
0.515,0.48,0.475,0.525,2,0.5228141513929105
0.485,0.535,0.545,0.52,2,0.5228141513929105
0.595,0.565,0.575,0.57,2,0.5228141513929105
0.495,0.475,0.49,0.53,2,0.5228141513929105
0.45,0.42,0.46,0.56,2,0.5228141513929105
0.56,0.51,0.52,0.53,2,0.5228141513929105
0.495,0.495,0.505,0.505,2,0.5228141513929105
0.585,0.53,0.545,0.52,2,0.5228141513929105
0.56,0.525,0.545,0.52,2,0.5228141513929105
0.54,0.53,0.56,0.54,2,0.5228141513929105
0.49,0.515,0.515,0.555,2,0.5228141513929105
0.51,0.52,0.505,0.56,2,0.5228141513929105
0.55,0.555,0.54,0.535,2,0.5228141513929105
