base,extra,test,majority,num_classes,majority_all
0.625,0.555,0.66,0.585,3,0.6143992932862191
0.665,0.62,0.54,0.66,3,0.6143992932862191
0.645,0.645,0.68,0.615,3,0.6143992932862191
0.625,0.485,0.425,0.53,3,0.6143992932862191
0.555,0.6,0.65,0.595,3,0.6143992932862191
0.61,0.73,0.69,0.69,3,0.6143992932862191
0.56,0.57,0.615,0.605,3,0.6143992932862191
0.675,0.57,0.61,0.6,3,0.6143992932862191
0.655,0.555,0.53,0.65,3,0.6143992932862191
0.62,0.655,0.57,0.595,3,0.6143992932862191
0.58,0.49,0.58,0.58,3,0.6143992932862191
0.63,0.695,0.75,0.6,3,0.6143992932862191
0.655,0.625,0.59,0.635,3,0.6143992932862191
0.57,0.445,0.465,0.64,3,0.6143992932862191
0.695,0.76,0.75,0.66,3,0.6143992932862191
0.64,0.555,0.705,0.61,3,0.6143992932862191
0.66,0.625,0.685,0.62,3,0.6143992932862191
0.645,0.605,0.655,0.625,3,0.6143992932862191
0.685,0.695,0.52,0.625,3,0.6143992932862191
0.615,0.68,0.68,0.6,3,0.6143992932862191
0.63,0.68,0.645,0.595,3,0.6143992932862191
0.65,0.36,0.545,0.61,3,0.6143992932862191
0.675,0.6,0.46,0.645,3,0.6143992932862191
0.645,0.625,0.645,0.595,3,0.6143992932862191
0.705,0.665,0.505,0.615,3,0.6143992932862191
0.675,0.62,0.635,0.65,3,0.6143992932862191
0.61,0.665,0.55,0.615,3,0.6143992932862191
0.705,0.675,0.555,0.6,3,0.6143992932862191
0.62,0.555,0.665,0.67,3,0.6143992932862191
0.675,0.435,0.685,0.61,3,0.6143992932862191
0.68,0.3,0.565,0.635,3,0.6143992932862191
0.65,0.42,0.48,0.65,3,0.6143992932862191
0.695,0.43,0.36,0.615,3,0.6143992932862191
0.66,0.465,0.53,0.62,3,0.6143992932862191
0.615,0.62,0.65,0.65,3,0.6143992932862191
0.565,0.47,0.35,0.65,3,0.6143992932862191
0.585,0.605,0.595,0.655,3,0.6143992932862191
0.625,0.615,0.675,0.64,3,0.6143992932862191
0.64,0.58,0.685,0.595,3,0.6143992932862191
0.695,0.68,0.685,0.625,3,0.6143992932862191
0.655,0.695,0.665,0.615,3,0.6143992932862191
0.525,0.61,0.52,0.59,3,0.6143992932862191
0.65,0.665,0.685,0.645,3,0.6143992932862191
0.585,0.53,0.69,0.545,3,0.6143992932862191
0.57,0.65,0.695,0.62,3,0.6143992932862191
0.63,0.48,0.48,0.615,3,0.6143992932862191
0.585,0.575,0.66,0.58,3,0.6143992932862191
0.715,0.435,0.6,0.65,3,0.6143992932862191
0.625,0.525,0.495,0.62,3,0.6143992932862191
0.645,0.585,0.66,0.615,3,0.6143992932862191
