base,extra,test,majority,num_classes,majority_all
0.585,0.44,0.465,0.51,2,0.5
0.635,0.495,0.51,0.525,2,0.5
0.59,0.455,0.515,0.51,2,0.5
0.555,0.49,0.515,0.535,2,0.5
0.63,0.51,0.45,0.52,2,0.5
0.625,0.56,0.455,0.545,2,0.5
0.605,0.505,0.46,0.515,2,0.5
0.605,0.52,0.52,0.505,2,0.5
0.725,0.485,0.46,0.59,2,0.5
0.595,0.495,0.5,0.54,2,0.5
0.61,0.57,0.555,0.54,2,0.5
0.64,0.5,0.47,0.535,2,0.5
0.585,0.475,0.505,0.5,2,0.5
0.67,0.535,0.54,0.555,2,0.5
0.645,0.525,0.485,0.54,2,0.5
0.575,0.49,0.5,0.535,2,0.5
0.68,0.54,0.49,0.545,2,0.5
0.645,0.51,0.49,0.52,2,0.5
0.65,0.485,0.5,0.51,2,0.5
0.6,0.505,0.505,0.52,2,0.5
0.575,0.46,0.52,0.505,2,0.5
0.6,0.475,0.5,0.51,2,0.5
0.56,0.47,0.42,0.575,2,0.5
0.615,0.44,0.515,0.545,2,0.5
0.635,0.47,0.59,0.55,2,0.5
0.645,0.485,0.495,0.545,2,0.5
0.63,0.51,0.475,0.51,2,0.5
0.585,0.51,0.5,0.52,2,0.5
0.51,0.505,0.495,0.525,2,0.5
0.62,0.51,0.5,0.52,2,0.5
0.58,0.515,0.5,0.505,2,0.5
0.59,0.46,0.565,0.51,2,0.5
0.6,0.575,0.54,0.53,2,0.5
0.68,0.545,0.56,0.525,2,0.5
0.645,0.52,0.525,0.54,2,0.5
0.55,0.485,0.53,0.515,2,0.5
0.595,0.54,0.535,0.55,2,0.5
0.67,0.55,0.505,0.535,2,0.5
0.625,0.505,0.48,0.52,2,0.5
0.655,0.485,0.575,0.51,2,0.5
0.585,0.525,0.575,0.505,2,0.5
0.59,0.555,0.505,0.515,2,0.5
0.705,0.505,0.48,0.515,2,0.5
0.56,0.49,0.525,0.53,2,0.5
0.585,0.58,0.53,0.51,2,0.5
0.64,0.48,0.495,0.54,2,0.5
0.585,0.51,0.465,0.51,2,0.5
0.65,0.52,0.525,0.515,2,0.5
0.595,0.45,0.405,0.51,2,0.5
0.64,0.54,0.515,0.515,2,0.5
