base,extra,test,majority,num_classes,majority_all
0.245,0.295,0.26,0.23,6,0.2292736610418195
0.17,0.21,0.195,0.255,6,0.2292736610418195
0.22,0.235,0.3,0.275,6,0.2292736610418195
0.21,0.215,0.25,0.275,6,0.2292736610418195
0.2,0.23,0.165,0.27,6,0.2292736610418195
0.23,0.285,0.265,0.235,6,0.2292736610418195
0.21,0.2,0.245,0.27,6,0.2292736610418195
0.24,0.2,0.19,0.28,6,0.2292736610418195
0.19,0.25,0.2,0.235,6,0.2292736610418195
0.335,0.27,0.195,0.25,6,0.2292736610418195
0.27,0.27,0.275,0.265,6,0.2292736610418195
0.295,0.28,0.235,0.24,6,0.2292736610418195
0.195,0.24,0.23,0.24,6,0.2292736610418195
0.245,0.22,0.185,0.235,6,0.2292736610418195
0.245,0.275,0.26,0.24,6,0.2292736610418195
0.265,0.24,0.225,0.26,6,0.2292736610418195
0.24,0.235,0.245,0.25,6,0.2292736610418195
0.175,0.19,0.275,0.26,6,0.2292736610418195
0.275,0.225,0.26,0.235,6,0.2292736610418195
0.27,0.215,0.225,0.28,6,0.2292736610418195
0.235,0.235,0.27,0.245,6,0.2292736610418195
0.32,0.265,0.26,0.295,6,0.2292736610418195
0.25,0.23,0.175,0.215,6,0.2292736610418195
0.28,0.225,0.275,0.25,6,0.2292736610418195
0.23,0.245,0.3,0.235,6,0.2292736610418195
0.225,0.235,0.22,0.225,6,0.2292736610418195
0.23,0.18,0.22,0.275,6,0.2292736610418195
0.235,0.23,0.23,0.225,6,0.2292736610418195
0.285,0.255,0.26,0.245,6,0.2292736610418195
0.255,0.205,0.235,0.24,6,0.2292736610418195
0.22,0.205,0.22,0.255,6,0.2292736610418195
0.28,0.2,0.195,0.275,6,0.2292736610418195
0.3,0.26,0.22,0.265,6,0.2292736610418195
0.21,0.195,0.19,0.24,6,0.2292736610418195
0.265,0.195,0.2,0.24,6,0.2292736610418195
0.29,0.215,0.18,0.23,6,0.2292736610418195
0.25,0.255,0.22,0.245,6,0.2292736610418195
0.235,0.23,0.22,0.24,6,0.2292736610418195
0.26,0.26,0.26,0.245,6,0.2292736610418195
0.245,0.215,0.19,0.245,6,0.2292736610418195
0.245,0.235,0.21,0.235,6,0.2292736610418195
0.23,0.215,0.19,0.24,6,0.2292736610418195
0.27,0.225,0.2,0.225,6,0.2292736610418195
0.245,0.25,0.265,0.26,6,0.2292736610418195
0.245,0.25,0.24,0.225,6,0.2292736610418195
0.205,0.235,0.225,0.215,6,0.2292736610418195
0.225,0.31,0.35,0.255,6,0.2292736610418195
0.39,0.195,0.23,0.27,6,0.2292736610418195
0.24,0.225,0.2,0.245,6,0.2292736610418195
0.26,0.235,0.21,0.24,6,0.2292736610418195
