base,extra,test,majority,num_classes,majority_all
0.72,0.53,0.52,0.5,2,0.5186701999518188
0.75,0.48,0.52,0.52,2,0.5186701999518188
0.77,0.57,0.51,0.55,2,0.5186701999518188
0.65,0.53,0.55,0.52,2,0.5186701999518188
0.78,0.42,0.4,0.6,2,0.5186701999518188
0.73,0.68,0.5,0.57,2,0.5186701999518188
0.68,0.53,0.5,0.5,2,0.5186701999518188
0.69,0.6,0.48,0.53,2,0.5186701999518188
0.72,0.53,0.49,0.51,2,0.5186701999518188
0.7,0.5,0.49,0.51,2,0.5186701999518188
0.69,0.59,0.53,0.53,2,0.5186701999518188
0.68,0.43,0.43,0.58,2,0.5186701999518188
0.7,0.48,0.48,0.52,2,0.5186701999518188
0.65,0.61,0.56,0.56,2,0.5186701999518188
0.7,0.53,0.52,0.52,2,0.5186701999518188
0.77,0.54,0.61,0.52,2,0.5186701999518188
0.76,0.48,0.52,0.51,2,0.5186701999518188
0.77,0.5,0.51,0.51,2,0.5186701999518188
0.76,0.61,0.56,0.55,2,0.5186701999518188
0.75,0.61,0.56,0.55,2,0.5186701999518188
