base,extra,test,majority,num_classes,majority_all
0.54,0.87,0.88,0.3,4,0.25
0.58,0.78,0.72,0.39,4,0.25
0.51,0.83,0.73,0.35,4,0.25
0.55,0.64,0.81,0.26,4,0.25
0.56,0.76,0.77,0.3,4,0.25
0.51,0.8,0.53,0.36,4,0.25
0.53,0.88,0.85,0.31,4,0.25
0.58,0.81,0.8,0.29,4,0.25
0.46,0.77,0.6,0.27,4,0.25
0.51,0.64,0.76,0.28,4,0.25
0.51,0.79,0.77,0.32,4,0.25
0.56,0.87,0.67,0.29,4,0.25
0.52,0.83,0.76,0.35,4,0.25
0.6,0.81,0.83,0.32,4,0.25
0.57,0.83,0.78,0.33,4,0.25
0.48,0.71,0.71,0.26,4,0.25
0.57,0.76,0.83,0.29,4,0.25
0.45,0.83,0.62,0.29,4,0.25
0.51,0.68,0.48,0.37,4,0.25
0.46,0.83,0.71,0.39,4,0.25
