base,extra,test,majority,num_classes,majority_all
0.31,0.53,0.31,0.89,2,0.8946
0.26,0.72,0.15,0.92,2,0.8946
0.29,0.78,0.55,0.84,2,0.8946
0.29,0.23,0.55,0.91,2,0.8946
0.28,0.48,0.67,0.88,2,0.8946
0.34,0.73,0.77,0.9,2,0.8946
0.36,0.26,0.88,0.89,2,0.8946
0.33,0.41,0.84,0.84,2,0.8946
0.32,0.33,0.82,0.88,2,0.8946
0.3,0.83,0.17,0.91,2,0.8946
0.33,0.43,0.51,0.89,2,0.8946
0.41,0.66,0.36,0.89,2,0.8946
0.32,0.36,0.4,0.9,2,0.8946
0.28,0.29,0.08,0.93,2,0.8946
0.33,0.88,0.47,0.9,2,0.8946
0.34,0.59,0.79,0.86,2,0.8946
0.29,0.61,0.64,0.88,2,0.8946
0.31,0.75,0.59,0.88,2,0.8946
0.29,0.94,0.73,0.94,2,0.8946
0.36,0.85,0.86,0.88,2,0.8946
