base,extra,test,majority,num_classes,majority_all
0.71,0.74,0.76,0.62,5,0.6053286584624998
0.61,0.66,0.66,0.56,5,0.6053286584624998
0.6,0.65,0.65,0.57,5,0.6053286584624998
0.59,0.64,0.64,0.55,5,0.6053286584624998
0.67,0.73,0.76,0.67,5,0.6053286584624998
0.54,0.65,0.63,0.6,5,0.6053286584624998
0.66,0.7,0.69,0.6,5,0.6053286584624998
0.68,0.72,0.74,0.63,5,0.6053286584624998
0.68,0.65,0.72,0.62,5,0.6053286584624998
0.69,0.68,0.72,0.61,5,0.6053286584624998
0.62,0.68,0.69,0.64,5,0.6053286584624998
0.56,0.62,0.6,0.61,5,0.6053286584624998
0.64,0.67,0.65,0.58,5,0.6053286584624998
0.64,0.69,0.68,0.6,5,0.6053286584624998
0.68,0.73,0.75,0.68,5,0.6053286584624998
0.67,0.7,0.68,0.7,5,0.6053286584624998
0.63,0.7,0.7,0.6,5,0.6053286584624998
0.52,0.55,0.57,0.53,5,0.6053286584624998
0.57,0.65,0.61,0.6,5,0.6053286584624998
0.64,0.66,0.66,0.65,5,0.6053286584624998
