base,extra,test,majority,num_classes,majority_all
0.39,0.67,0.56,0.64,2,0.5228141513929105
0.52,0.63,0.71,0.55,2,0.5228141513929105
0.51,0.61,0.5,0.51,2,0.5228141513929105
0.53,0.5,0.58,0.51,2,0.5228141513929105
0.51,0.55,0.53,0.51,2,0.5228141513929105
0.58,0.67,0.61,0.58,2,0.5228141513929105
0.54,0.56,0.64,0.5,2,0.5228141513929105
0.55,0.6,0.65,0.5,2,0.5228141513929105
0.47,0.57,0.54,0.6,2,0.5228141513929105
0.55,0.68,0.72,0.52,2,0.5228141513929105
0.49,0.52,0.53,0.5,2,0.5228141513929105
0.51,0.5,0.57,0.57,2,0.5228141513929105
0.54,0.6,0.64,0.5,2,0.5228141513929105
0.63,0.6,0.56,0.59,2,0.5228141513929105
0.56,0.53,0.52,0.53,2,0.5228141513929105
0.45,0.46,0.42,0.56,2,0.5228141513929105
0.52,0.5,0.57,0.54,2,0.5228141513929105
0.45,0.55,0.72,0.56,2,0.5228141513929105
0.47,0.59,0.63,0.51,2,0.5228141513929105
0.54,0.69,0.53,0.5,2,0.5228141513929105
