base,extra,test,majority,num_classes,majority_all
0.67,0.33,0.32,0.68,2,0.6288525638098716
0.62,0.4,0.4,0.6,2,0.6288525638098716
0.77,0.29,0.27,0.73,2,0.6288525638098716
0.6,0.41,0.41,0.59,2,0.6288525638098716
0.64,0.39,0.39,0.61,2,0.6288525638098716
0.65,0.37,0.37,0.63,2,0.6288525638098716
0.69,0.36,0.38,0.64,2,0.6288525638098716
0.67,0.35,0.35,0.65,2,0.6288525638098716
0.63,0.41,0.41,0.59,2,0.6288525638098716
0.66,0.42,0.42,0.58,2,0.6288525638098716
0.67,0.37,0.37,0.63,2,0.6288525638098716
0.65,0.39,0.39,0.61,2,0.6288525638098716
0.61,0.41,0.41,0.59,2,0.6288525638098716
0.6,0.44,0.44,0.56,2,0.6288525638098716
0.69,0.33,0.33,0.67,2,0.6288525638098716
0.68,0.36,0.35,0.65,2,0.6288525638098716
0.67,0.34,0.33,0.67,2,0.6288525638098716
0.61,0.39,0.38,0.62,2,0.6288525638098716
0.64,0.39,0.39,0.61,2,0.6288525638098716
0.72,0.31,0.31,0.69,2,0.6288525638098716
