base,extra,test,majority,num_classes,majority_all
0.16,0.17,0.26,0.48,4,0.4260586319218241
0.19,0.22,0.18,0.49,4,0.4260586319218241
0.14,0.2,0.27,0.54,4,0.4260586319218241
0.18,0.39,0.37,0.39,4,0.4260586319218241
0.18,0.22,0.34,0.37,4,0.4260586319218241
0.17,0.28,0.17,0.48,4,0.4260586319218241
0.23,0.2,0.31,0.51,4,0.4260586319218241
0.19,0.27,0.2,0.44,4,0.4260586319218241
0.16,0.32,0.29,0.38,4,0.4260586319218241
0.16,0.27,0.26,0.38,4,0.4260586319218241
0.21,0.26,0.34,0.42,4,0.4260586319218241
0.18,0.25,0.32,0.43,4,0.4260586319218241
0.16,0.28,0.18,0.46,4,0.4260586319218241
0.15,0.25,0.19,0.51,4,0.4260586319218241
0.19,0.3,0.34,0.37,4,0.4260586319218241
0.27,0.25,0.33,0.41,4,0.4260586319218241
0.14,0.2,0.22,0.46,4,0.4260586319218241
0.13,0.21,0.29,0.44,4,0.4260586319218241
0.19,0.27,0.26,0.41,4,0.4260586319218241
0.09,0.27,0.26,0.49,4,0.4260586319218241
