base,extra,test,majority,num_classes,majority_all
0.72,0.79,0.88,0.28,6,0.2484942685059258
0.57,0.81,0.79,0.28,6,0.2484942685059258
0.7,0.78,0.86,0.29,6,0.2484942685059258
0.74,0.77,0.88,0.24,6,0.2484942685059258
0.64,0.82,0.81,0.3,6,0.2484942685059258
0.69,0.77,0.9,0.27,6,0.2484942685059258
0.71,0.81,0.84,0.27,6,0.2484942685059258
0.8,0.85,0.8,0.27,6,0.2484942685059258
0.76,0.8,0.83,0.24,6,0.2484942685059258
0.78,0.85,0.83,0.26,6,0.2484942685059258
0.73,0.81,0.85,0.24,6,0.2484942685059258
0.75,0.85,0.82,0.27,6,0.2484942685059258
0.75,0.82,0.81,0.23,6,0.2484942685059258
0.74,0.88,0.76,0.25,6,0.2484942685059258
0.7,0.81,0.87,0.26,6,0.2484942685059258
0.77,0.77,0.9,0.22,6,0.2484942685059258
0.67,0.78,0.89,0.21,6,0.2484942685059258
0.76,0.82,0.88,0.26,6,0.2484942685059258
0.76,0.8,0.78,0.21,6,0.2484942685059258
0.77,0.82,0.84,0.31,6,0.2484942685059258
