base,extra,test,majority,num_classes,majority_all
0.12,0.15,0.12,0.49,3,0.495115093170662
0.14,0.14,0.15,0.53,3,0.495115093170662
0.09,0.09,0.09,0.48,3,0.495115093170662
0.13,0.13,0.24,0.49,3,0.495115093170662
0.12,0.12,0.12,0.5,3,0.495115093170662
0.12,0.2,0.25,0.48,3,0.495115093170662
0.11,0.14,0.15,0.46,3,0.495115093170662
0.1,0.28,0.1,0.49,3,0.495115093170662
0.11,0.12,0.28,0.47,3,0.495115093170662
0.05,0.05,0.19,0.5,3,0.495115093170662
0.07,0.07,0.13,0.49,3,0.495115093170662
0.08,0.08,0.3,0.54,3,0.495115093170662
0.11,0.11,0.12,0.46,3,0.495115093170662
0.06,0.23,0.17,0.57,3,0.495115093170662
0.1,0.1,0.1,0.54,3,0.495115093170662
0.1,0.1,0.13,0.51,3,0.495115093170662
0.09,0.09,0.14,0.48,3,0.495115093170662
0.08,0.09,0.08,0.5,3,0.495115093170662
0.09,0.12,0.1,0.51,3,0.495115093170662
0.08,0.11,0.08,0.48,3,0.495115093170662
