base,extra,test,majority,num_classes,majority_all
0.54,0.5,0.48,0.4,4,0.4956233421750663
0.6,0.55,0.73,0.46,4,0.4956233421750663
0.64,0.52,0.62,0.4,4,0.4956233421750663
0.46,0.6,0.63,0.57,4,0.4956233421750663
0.52,0.59,0.42,0.45,4,0.4956233421750663
0.57,0.52,0.49,0.48,4,0.4956233421750663
0.49,0.53,0.44,0.55,4,0.4956233421750663
0.55,0.46,0.68,0.5,4,0.4956233421750663
0.63,0.73,0.55,0.45,4,0.4956233421750663
0.57,0.52,0.73,0.5,4,0.4956233421750663
0.6,0.45,0.79,0.46,4,0.4956233421750663
0.59,0.73,0.43,0.46,4,0.4956233421750663
0.52,0.57,0.68,0.49,4,0.4956233421750663
0.55,0.39,0.72,0.48,4,0.4956233421750663
0.58,0.56,0.7,0.47,4,0.4956233421750663
0.65,0.67,0.46,0.53,4,0.4956233421750663
0.53,0.73,0.53,0.53,4,0.4956233421750663
0.54,0.57,0.72,0.51,4,0.4956233421750663
0.59,0.6,0.62,0.42,4,0.4956233421750663
0.62,0.63,0.61,0.43,4,0.4956233421750663
