base,extra,test,majority,num_classes,majority_all
0.45,0.45,0.49,0.55,2,0.5088267803568609
0.57,0.57,0.57,0.57,2,0.5088267803568609
0.52,0.5,0.5,0.5,2,0.5088267803568609
0.51,0.52,0.52,0.52,2,0.5088267803568609
0.52,0.51,0.51,0.51,2,0.5088267803568609
0.45,0.45,0.45,0.55,2,0.5088267803568609
0.41,0.41,0.41,0.59,2,0.5088267803568609
0.61,0.64,0.61,0.61,2,0.5088267803568609
0.49,0.49,0.49,0.51,2,0.5088267803568609
0.59,0.58,0.58,0.58,2,0.5088267803568609
0.55,0.55,0.55,0.55,2,0.5088267803568609
0.52,0.52,0.52,0.52,2,0.5088267803568609
0.49,0.49,0.49,0.51,2,0.5088267803568609
0.62,0.61,0.61,0.61,2,0.5088267803568609
0.58,0.57,0.57,0.57,2,0.5088267803568609
0.43,0.42,0.42,0.58,2,0.5088267803568609
0.43,0.44,0.44,0.56,2,0.5088267803568609
0.56,0.56,0.56,0.56,2,0.5088267803568609
0.51,0.5,0.49,0.51,2,0.5088267803568609
0.48,0.48,0.48,0.52,2,0.5088267803568609
