base,extra,test,majority,num_classes,majority_all
0.59,0.63,0.68,0.57,3,0.6143992932862191
0.56,0.77,0.8,0.68,3,0.6143992932862191
0.63,0.62,0.66,0.52,3,0.6143992932862191
0.62,0.71,0.7,0.54,3,0.6143992932862191
0.49,0.65,0.67,0.56,3,0.6143992932862191
0.49,0.75,0.8,0.67,3,0.6143992932862191
0.53,0.69,0.7,0.62,3,0.6143992932862191
0.63,0.68,0.66,0.56,3,0.6143992932862191
0.62,0.61,0.68,0.55,3,0.6143992932862191
0.56,0.69,0.69,0.63,3,0.6143992932862191
0.57,0.63,0.63,0.57,3,0.6143992932862191
0.5,0.66,0.66,0.64,3,0.6143992932862191
0.4,0.82,0.84,0.76,3,0.6143992932862191
0.57,0.76,0.7,0.6,3,0.6143992932862191
0.53,0.67,0.69,0.61,3,0.6143992932862191
0.55,0.65,0.65,0.6,3,0.6143992932862191
0.54,0.71,0.72,0.64,3,0.6143992932862191
0.56,0.74,0.74,0.63,3,0.6143992932862191
0.56,0.75,0.77,0.66,3,0.6143992932862191
0.5,0.7,0.69,0.6,3,0.6143992932862191
