base,extra,test,majority,num_classes,majority_all
0.49,0.52,0.62,0.5,2,0.5005431839605298
0.44,0.6,0.6,0.59,2,0.5005431839605298
0.57,0.46,0.52,0.59,2,0.5005431839605298
0.48,0.52,0.47,0.51,2,0.5005431839605298
0.52,0.55,0.56,0.52,2,0.5005431839605298
0.55,0.49,0.45,0.57,2,0.5005431839605298
0.51,0.45,0.51,0.55,2,0.5005431839605298
0.58,0.45,0.47,0.56,2,0.5005431839605298
0.51,0.52,0.49,0.52,2,0.5005431839605298
0.55,0.63,0.52,0.52,2,0.5005431839605298
0.42,0.66,0.61,0.61,2,0.5005431839605298
0.56,0.47,0.52,0.54,2,0.5005431839605298
0.47,0.51,0.52,0.51,2,0.5005431839605298
0.52,0.47,0.46,0.53,2,0.5005431839605298
0.55,0.44,0.44,0.56,2,0.5005431839605298
0.61,0.54,0.67,0.56,2,0.5005431839605298
0.54,0.64,0.52,0.51,2,0.5005431839605298
0.58,0.43,0.43,0.57,2,0.5005431839605298
0.46,0.57,0.56,0.55,2,0.5005431839605298
0.49,0.48,0.57,0.51,2,0.5005431839605298
