base,extra,test,majority,num_classes,majority_all
0.48,0.45,0.43,0.57,2,0.6222674986204847
0.55,0.51,0.49,0.53,2,0.6222674986204847
0.43,0.48,0.43,0.67,2,0.6222674986204847
0.49,0.42,0.43,0.6,2,0.6222674986204847
0.45,0.44,0.43,0.61,2,0.6222674986204847
0.45,0.36,0.45,0.64,2,0.6222674986204847
0.49,0.5,0.45,0.61,2,0.6222674986204847
0.47,0.56,0.46,0.61,2,0.6222674986204847
0.51,0.43,0.44,0.6,2,0.6222674986204847
0.5,0.39,0.43,0.67,2,0.6222674986204847
0.54,0.49,0.51,0.58,2,0.6222674986204847
0.49,0.47,0.52,0.66,2,0.6222674986204847
0.49,0.43,0.45,0.62,2,0.6222674986204847
0.49,0.45,0.55,0.62,2,0.6222674986204847
0.51,0.38,0.45,0.64,2,0.6222674986204847
0.55,0.51,0.42,0.61,2,0.6222674986204847
0.45,0.39,0.36,0.64,2,0.6222674986204847
0.53,0.61,0.5,0.58,2,0.6222674986204847
0.51,0.41,0.46,0.65,2,0.6222674986204847
0.49,0.42,0.38,0.67,2,0.6222674986204847
