base,extra,test,majority,num_classes,majority_all
0.53,0.54,0.52,0.18,18,0.1466041340976203
0.53,0.54,0.52,0.19,18,0.1466041340976203
0.64,0.58,0.6,0.15,18,0.1466041340976203
0.65,0.64,0.65,0.09,18,0.1466041340976203
0.67,0.61,0.62,0.18,18,0.1466041340976203
0.58,0.6,0.59,0.15,18,0.1466041340976203
0.59,0.59,0.59,0.18,18,0.1466041340976203
0.6,0.6,0.6,0.2,18,0.1466041340976203
0.58,0.53,0.54,0.13,18,0.1466041340976203
0.55,0.54,0.55,0.14,18,0.1466041340976203
0.63,0.61,0.59,0.18,18,0.1466041340976203
0.62,0.61,0.62,0.16,18,0.1466041340976203
0.56,0.56,0.55,0.2,18,0.1466041340976203
0.54,0.57,0.55,0.13,18,0.1466041340976203
0.57,0.56,0.53,0.14,18,0.1466041340976203
0.5,0.46,0.51,0.18,18,0.1466041340976203
0.68,0.65,0.65,0.17,18,0.1466041340976203
0.62,0.61,0.66,0.16,18,0.1466041340976203
0.57,0.59,0.56,0.16,18,0.1466041340976203
0.59,0.61,0.55,0.14,18,0.1466041340976203
