base,extra,test,majority,num_classes,majority_all
0.62,0.74,0.69,0.59,2,0.5
0.47,0.65,0.74,0.54,2,0.5
0.57,0.56,0.44,0.56,2,0.5
0.51,0.59,0.51,0.51,2,0.5
0.53,0.48,0.61,0.52,2,0.5
0.5,0.75,0.6,0.51,2,0.5
0.48,0.8,0.63,0.53,2,0.5
0.51,0.76,0.55,0.53,2,0.5
0.48,0.51,0.53,0.51,2,0.5
0.51,0.58,0.87,0.51,2,0.5
0.58,0.65,0.58,0.57,2,0.5
0.51,0.78,0.79,0.53,2,0.5
0.51,0.49,0.76,0.51,2,0.5
0.64,0.77,0.63,0.62,2,0.5
0.41,0.61,0.59,0.59,2,0.5
0.51,0.51,0.51,0.51,2,0.5
0.54,0.57,0.69,0.52,2,0.5
0.5,0.81,0.48,0.52,2,0.5
0.51,0.5,0.82,0.51,2,0.5
0.54,0.76,0.65,0.51,2,0.5
